,tsne1,tsne2,inlierLabel
106,-0.6057252,1.0989,1
107,5.1816783,2.3998942,1
108,6.2063913,-7.940993,1
109,6.9183764,12.068899,1
110,8.998931,-8.328004,1
111,14.953614,16.669764,-1
112,15.378749,16.930601,-1
113,15.17826,16.161045,-1
114,-26.770037,-4.973888,-1
115,-27.330404,-3.8582888,-1
116,-26.673788,-4.6008744,1
117,5.233544,3.5276027,1
118,6.2149262,4.1218634,1
119,6.8663,4.894414,1
120,-23.852802,-8.244342,1
121,-23.74662,-8.706274,1
122,-23.384563,-9.241652,1
123,23.740465,14.851802,-1
124,23.319305,15.024133,-1
125,23.62635,15.257194,-1
126,-18.197905,-8.195867,1
127,-18.48975,-8.7156925,1
128,-21.005156,-10.538795,-1
129,-19.36417,-10.204067,1
130,-20.081474,-9.671738,1
131,-18.29288,-10.068451,1
132,8.367508,7.5070767,1
133,8.27814,7.968773,1
134,8.052333,7.355852,1
135,-25.43837,-5.472428,1
136,-25.427519,-5.584851,1
137,-24.613491,-4.660945,1
138,-7.0710235,14.499857,-1
139,-7.59368,14.422609,-1
140,-7.7007813,14.430447,-1
141,-1.5639913,-7.7962575,1
142,-2.9901175,-7.577747,1
143,-3.5888627,-7.6558332,-1
144,-7.6145372,-1.2356168,1
145,-8.790152,-2.4252493,1
146,-6.0886126,-0.48051155,1
147,-23.052044,-1.2669208,-1
148,-23.734337,-0.44349304,-1
149,-23.414045,-1.1729107,1
150,-6.838833,-2.1164818,1
151,-6.7841625,-1.630095,1
152,-10.143605,-2.4855306,-1
153,-6.859834,-5.3872604,1
154,-5.220572,0.7467341,1
155,-5.297722,0.9396469,1
156,-5.308769,5.021587,1
157,-5.192102,5.008432,1
158,-20.148418,-6.7421126,1
159,-10.219055,6.3198314,-1
160,-7.6794233,4.901386,-1
161,-10.08182,6.1006446,-1
162,-4.589748,-9.984791,1
163,-10.315847,-0.6117923,1
164,-3.1958547,2.4599855,-1
165,0.66992784,-11.880205,-1
166,-12.397925,-5.313618,-1
167,-6.2407255,-5.463387,1
168,-8.802543,5.546099,-1
169,-8.265743,1.4627352,1
170,-9.451848,5.2465086,-1
171,-10.097049,0.8829505,1
172,-3.2945561,0.98895097,1
173,-2.5237122,-0.007892564,1
174,-10.148734,-8.870731,-1
175,-23.714037,-12.599428,-1
176,-22.416649,-13.432519,1
177,-9.353745,-8.605727,-1
178,-2.126399,-4.656302,1
179,-2.3437612,-5.0489397,1
180,-22.79657,-12.218684,-1
181,-17.215155,-7.0762134,1
182,-16.987488,-7.0429068,1
183,5.1765804,6.106625,1
184,5.38753,7.0594163,-1
185,5.054099,5.725166,1
186,5.9912624,3.1240904,1
187,3.1055024,4.399726,1
188,2.8260012,5.029779,1
189,0.012495156,2.9206872,1
190,-0.8543687,8.874327,-1
191,-0.85785115,8.826405,1
192,-7.3336525,-0.25798616,1
193,-19.41059,-7.4857054,1
194,-24.495872,-10.419022,1
195,-12.007907,-2.0255165,1
196,16.7745,0.1593317,-1
197,-19.060337,-6.2401304,1
198,12.110194,18.584255,1
199,13.48746,18.629927,-1
200,13.55949,18.603977,-1
201,11.588901,0.65557754,1
202,10.55604,1.0947742,1
203,10.015072,0.46033418,1
204,9.111097,0.8299241,1
205,8.897027,0.20478176,1
206,10.194564,-0.68167275,1
207,6.1636443,14.750268,-1
208,6.108299,14.747072,-1
209,7.0179715,12.958278,-1
210,-13.198145,0.6351136,1
211,-11.945117,-0.23788606,1
212,-12.366264,0.7539099,1
213,-10.394663,1.2157818,1
214,-10.94972,0.14789116,1
215,-15.675887,-1.8989834,1
216,22.63933,9.810381,-1
217,22.23797,9.500152,1
218,22.856628,7.9533687,1
219,-24.43114,-3.4710493,1
220,-24.023727,0.076418824,-1
221,-29.073473,-7.2401285,-1
222,16.602718,6.2696013,1
223,17.329018,6.6042666,1
224,17.613234,7.056042,1
225,18.258854,11.395848,1
226,16.395609,12.273928,1
