,tsne1,tsne2,class
350,8.963658,0.45514917,WA
351,7.564525,12.488762,WA
352,-10.431265,-2.5097735,WA
353,9.54776,16.161757,WA
354,13.779257,7.8725653,WA
355,-5.5036993,20.70298,WA
356,-3.3924112,19.630133,WA
357,-4.4436874,7.9477463,WA
358,-3.5114913,8.390234,WA
359,-3.7704935,8.035714,WA
360,-12.943144,-10.481478,WA
361,3.0016222,10.207418,WA
362,3.8548462,11.082737,WA
363,6.961363,10.832174,WA
364,-4.5297937,20.33124,WA
365,-0.481568,-1.5388606,WA
366,1.0284336,3.4405744,WA
367,-7.906989,-3.264033,WA
368,-12.179214,-6.7950144,WA
369,-9.225245,-15.649081,WA
370,-1.072296,-4.1669416,WA
371,2.1901991,4.2149324,WA
372,7.6556487,5.6752844,MM
373,6.9318037,6.283919,MM
374,7.830627,6.79378,MM
375,1.0011021,11.863359,MM
376,1.6697094,11.514869,MM
377,1.1312796,12.421795,MM
378,-0.09495023,4.206371,MM
379,9.532771,8.137085,MM
380,-10.150689,-1.4120942,MM
381,-8.802754,-22.459095,MM
382,-6.928171,-0.4874327,MM
383,-6.444221,0.2944619,MM
384,-19.724205,-5.5885196,MM
385,-13.860227,-9.443274,MM
386,-14.992982,-13.359345,MM
387,1.3232193,1.7994853,MM
388,10.157067,5.59657,MM
389,4.9366527,4.186888,MM
390,4.811047,5.126684,MM
391,4.5166264,5.724936,MM
392,4.2074103,5.5804768,MM
393,4.3479886,-2.9363358,MM
394,3.5010254,-3.9545252,MM
395,2.3264694,5.6284585,MM
396,-9.097411,-18.848648,MM
397,-4.1781898,-5.5528035,MM
398,-3.0883667,-5.6595936,MM
399,-15.844181,-4.573563,MM
400,-15.580352,-4.014445,MM
401,-16.911995,-6.9910336,MM
402,-8.778777,-23.147058,MM
403,-7.8913116,-18.462658,MM
404,-3.7729092,-3.7500856,MM
405,-9.951105,-12.187077,MM
406,-0.49087545,-12.088885,MM
407,-9.893341,-12.4218445,MM
408,-14.856075,-11.518245,MM
409,-4.524527,-9.651738,MM
410,-5.4213195,-8.100962,MM
411,-6.5372963,-14.1783085,MM
412,10.437349,-12.450226,MM
413,-6.533789,-14.175044,MM
414,13.924905,-0.4378162,MM
415,16.650558,-7.347514,MM
416,18.725111,-20.268108,MM
417,-7.767894,20.731535,MM
418,-7.589715,20.748041,MM
419,-8.557446,2.4863985,MM
420,-13.189127,-2.5345564,MM
421,-18.838713,-11.187902,MM
422,-13.094532,-2.2559063,MM
423,9.784183,-7.285976,MM
424,-11.484231,11.436821,MM
425,-10.436253,2.6488607,MM
426,0.8106902,-6.930604,MM
427,6.428055,2.3165762,MM
428,6.054745,3.2248127,MM
429,-11.811036,1.908957,MM
430,-9.598444,1.4386029,MM
431,-12.931839,-4.3117785,MM
