,tsne1,tsne2,inlierLabel
92,3.6198761,-4.842389,1
93,-21.581648,-8.477322,1
94,-16.34127,-9.0120325,-1
95,-17.963709,-10.171874,1
96,-22.508072,-4.592638,1
97,-25.755173,-6.4284096,1
98,-25.027836,-8.05425,-1
99,12.892827,-9.124508,1
100,13.070489,-10.875277,1
101,12.906948,-9.958743,1
102,-4.286759,-12.230725,-1
103,9.625204,-18.870682,1
104,13.502051,-8.936953,1
105,7.8049273,-0.977749,1
106,6.655745,-1.3193341,1
107,8.292572,-2.4732616,1
108,8.882678,-13.869542,1
109,15.487534,-17.050188,1
110,10.2843485,-14.203206,1
111,18.999424,13.894535,-1
112,18.430056,14.009785,-1
113,19.021042,13.474974,-1
114,-26.45465,-4.672841,-1
115,-27.509912,-5.3375254,-1
116,-26.54464,-5.051831,1
117,9.257447,-1.9166082,1
118,10.20189,-1.4350806,1
119,11.060757,-0.7944857,1
120,-22.436436,-3.7781487,1
121,-22.275291,-3.2607007,1
122,-21.900152,-2.7064705,1
123,22.423538,4.1378036,-1
124,22.725636,4.5220084,-1
125,22.900248,4.1528244,-1
126,-16.422035,-2.0288396,1
127,-17.450909,-1.7987922,1
128,-19.57264,-1.6332401,-1
129,-18.694164,-4.025767,1
130,-18.970972,-2.882637,1
131,-17.860865,-3.45681,1
132,14.177339,-0.17792161,1
133,14.682177,-0.45427522,1
134,13.945419,-0.49261382,1
135,-25.021418,-4.4957323,1
136,-24.936857,-4.337593,1
137,-24.288612,-5.4802194,1
138,4.1103234,-19.038452,-1
139,4.658127,-18.831371,-1
140,4.569936,-18.626657,-1
141,0.06670403,-10.48086,1
142,1.4918588,-9.521519,1
143,1.8816129,-8.962503,-1
144,-4.802471,3.9545548,1
145,-2.2023368,6.1977,1
146,-3.3909657,2.2660835,1
147,-26.104582,0.7553329,-1
148,-27.233839,0.5732566,-1
149,-26.431173,0.47699845,1
150,-3.69557,4.5224338,1
151,-3.8725843,4.0571404,1
152,-1.641209,7.7869453,-1
153,0.02745283,13.626731,1
154,-3.1149437,0.58481216,1
155,-3.1619499,0.46378112,1
156,-7.8854423,7.248896,1
157,-7.923319,7.31274,1
158,-16.708633,-4.004627,1
159,-5.887974,-5.228564,-1
160,-3.3484921,-3.1985586,-1
161,-5.7642965,-5.027025,-1
162,4.348486,-8.186901,1
163,-6.1579123,2.2712667,1
164,-1.2753909,-0.27825952,-1
165,1.3333931,-16.699297,-1
166,-13.037074,5.4317207,-1
167,0.84916204,13.991379,1
168,-4.763703,-3.9309323,-1
169,-5.346291,-1.8318392,1
170,-5.4482384,-4.0307274,-1
171,-7.867158,-0.49917403,1
172,-1.9565506,-2.4657044,1
173,-0.21337433,-3.9157388,1
174,-18.442755,3.6408858,-1
175,-19.707966,1.8457147,-1
176,-19.076658,0.7913071,1
177,-1.9337364,-8.348774,-1
178,-1.1084158,-7.5762954,1
179,-1.3003601,-7.974115,1
180,-18.76928,1.741766,-1
181,-17.567886,-0.36768478,1
182,-17.587027,-0.17772849,1
183,10.342271,-3.9797513,1
184,11.33065,-4.326141,-1
185,9.707948,-4.0844655,1
186,9.243709,-0.85807526,1
187,7.5254683,0.15256067,1
188,7.200689,0.78324723,1
189,3.5781994,-0.8717966,1
190,-5.961742,10.18008,-1
191,-5.994708,10.248189,1
192,-4.9158745,5.3599277,1
193,-16.051397,-1.3267565,1
194,-21.710144,-1.2206259,1
195,-6.845248,4.8803167,1
196,7.424394,15.935623,-1
197,-15.829192,0.102339394,1
198,-5.200346,12.049477,1
199,-4.9038143,13.540181,-1
200,-4.878531,13.604915,-1
201,5.235225,6.051826,1
202,4.6982794,5.2940197,1
203,3.8198884,5.5733004,1
204,3.1670136,5.065067,1
205,2.6058962,5.5239935,1
206,3.4180465,6.5645714,1
207,10.812185,-23.700727,-1
208,10.622084,-23.313692,-1
209,16.49626,-17.473597,-1
210,-8.422048,1.3564832,1
211,-7.1600018,2.2795024,1
212,-6.0287485,0.9499617,1
213,-7.507101,-0.18599787,1
214,-7.491571,0.87655383,1
215,-11.217835,0.5277211,1
216,18.76533,5.3156743,-1
217,17.992119,5.3741956,1
218,14.5713,16.386528,1
219,-24.71462,-5.893874,1
220,-27.870258,0.4859392,-1
221,-0.63664913,20.286592,-1
222,10.102393,9.577732,1
223,10.849438,9.813185,1
224,10.557408,10.249117,1
225,16.297962,10.250197,1
226,15.697898,8.2889595,1
227,15.432286,8.909167,1
228,6.7576375,12.357249,-1
229,8.475727,12.854046,1
230,9.03232,11.402883,1
231,8.00342,11.904966,1
232,9.867363,13.170302,-1
233,9.310404,12.557262,-1
234,-7.8361235,3.184348,1
235,-10.799294,-0.15984559,1
236,7.0074654,-20.57317,1
237,10.3783455,7.9359174,1
238,1.9762589,18.13506,-1
239,10.920835,8.85032,1
240,10.939001,3.5339944,-1
241,10.201092,1.5248537,1
242,13.357359,10.270026,1
