Analysis,Geology,Province,Region,Site,SubSite,Formation,Band,Nodule,Li7,Be9,B11,Mg24,Al27,Si28,P31,S33,K39,Ca42,Sc45,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn68,Ga69,Ge72,As75,Rb85,Sr88,Y89,Zr90,Nb93,Mo95,Cd111,In115,Sn118,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
005_BC_1,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_1,2.61,<0.06,72.92,11.8,218.83,465672.79,288.37,551.12,219.32,449.86,1.29,7.87,1.43,6.19,0.39,69.96,0.16,4.83,0.99,10.34,0.16,1.53,0.65,0.5,4.29,2.64,0.82,0.1,0.12,0.06,0.04,0.11,0.04,1.74,2.4,2.2,0.68,2.37,0.37,0.1,0.52,0.07,0.34,0.05,0.2,0.05,0.14,0.02,0.04,0.02,1.07,0.08,0.43
006_BC_1,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_1,3.11,0.21,66.39,8.07,158.75,466217.42,108.39,502.52,176.68,179.15,1.33,5.94,0.67,5.65,0.22,40.22,0.18,1.2,1.12,10.63,0.15,1.01,<0.31,0.24,1.99,1.06,0.7,0.13,0.09,<0.03,0.04,0.09,0.02,1.1,1.15,1.03,0.31,1.08,0.16,0.06,0.13,0.02,0.16,0.05,0.07,0.01,0.09,0.01,0.01,0.01,0.44,0.07,0.27
007_BC_1,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_1,1.68,0.36,71.64,10.86,183.66,465839.52,283.44,523.71,208.76,340.34,1.31,8.06,0.81,6.11,0.38,46.04,0.22,2.2,1.83,11.25,0.17,1.2,<0.28,0.39,3.68,2.08,1.13,0.13,<0.04,0.09,0.01,0.14,0.02,1.2,2.22,1.93,0.55,1.9,0.42,0.06,0.38,0.07,0.32,0.06,0.17,0.02,0.14,0.01,0.06,0.01,0.51,0.05,0.44
008_BC_2,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_2,1.38,0.38,71.44,13.95,216.76,465414.6,366.35,589.6,206.04,673.61,1.05,10.23,0.8,6.94,0.21,63.08,0.08,2.04,0.79,10.28,0.15,1.14,0.45,0.37,4.38,2.48,0.59,0.05,<0.05,0.06,<0.01,0.11,0.04,1.87,2.4,1.84,0.52,1.81,0.48,0.08,0.39,0.07,0.37,0.06,0.16,0.03,0.16,0.02,0.01,0,0.59,0.04,0.36
009_BC_2,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_2,1.44,<0.13,66.62,9.59,149.44,465780.1,254.07,578.47,148.12,490.2,1.04,27.44,0.54,5.52,0.32,33.2,<0.06,1.58,0.71,10.03,0.09,1.2,<0.28,0.26,3.22,1.86,0.62,0.09,0.16,<0.03,<0.01,0.1,<0.00,0.87,1.76,1.33,0.41,1.62,0.2,0.06,0.34,0.05,0.24,0.07,0.13,0.02,0.11,0.01,0.01,0.01,0.31,0.06,0.36
010_BC_2,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_2,1.11,0.08,73.56,9.85,159.33,465778.67,262.05,538.14,165.68,492.23,0.82,31.67,0.64,5.6,0.2,46.49,<0.08,0.62,0.76,9.3,0.16,1.29,<0.33,0.23,3.32,1.66,0.5,0.22,<0.08,<0.04,<0.01,0.08,<0.00,0.65,1.53,1.18,0.36,1.16,0.26,0.05,0.2,0.03,0.2,0.06,0.1,0.04,0.17,0.02,0.01,0.01,0.51,0.07,0.33
011_BC_3,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_3,3.82,0.33,67.16,27.72,342.65,459305.04,3007.53,497.82,245.93,5471.36,0.79,19.56,1.33,5.62,3.02,128.66,0.08,2.05,0.84,15.37,0.39,0.96,<0.24,0.46,63.29,14.74,1,0.1,<0.05,0.42,<0.01,0.07,0.02,6.18,12.73,8.63,2,8.21,1.41,0.31,1.56,0.24,1.28,0.32,0.84,0.11,0.6,0.09,0.01,0.02,0.7,0.05,0.71
012_BC_3,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_3,6.76,0.31,85.64,26.52,329.79,463354.75,62.84,494,222.29,4156.6,1.1,33.26,1.4,6.25,4.43,142.79,0.14,2.34,0.6,14.29,0.32,0.56,<0.24,0.55,13.2,0.69,0.6,0.12,0.2,0.38,0.03,0.1,0.01,3.45,1.2,1.42,0.24,0.91,0.18,0.03,0.08,0.03,0.12,0.01,0.03,0.01,0.03,0.01,0.02,0,0.5,0.11,0.25
013_BC_3,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_3,3.76,<0.11,79.38,14.19,326.93,465257.25,367.16,512.04,250.35,796.9,0.86,10.22,0.61,5.12,0.75,109.82,0.08,0.93,1.3,12.25,0.19,0.95,<0.25,0.34,7.5,2.36,0.6,0.06,0.11,0.25,0.01,0.07,0.02,3.51,2.5,2.27,0.56,1.92,0.39,0.1,0.44,0.05,0.26,0.07,0.18,0.02,0.08,0.02,0.02,0.01,0.54,0.05,0.17
014_BC_4,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_4,2.24,0.33,86.48,15.18,234.25,465709.31,145.85,577.61,217.7,557.83,1.01,12.34,1.13,6.51,0.42,37.93,<0.06,0.86,0.95,14.8,0.3,0.78,<0.24,0.4,3.44,1.32,0.61,0.08,<0.05,0.12,0.03,0.1,0.02,1.13,1.37,1.22,0.4,1.07,0.31,0.06,0.36,0.06,0.18,0.06,0.08,0.02,0.07,0.01,0.01,0.01,0.26,0.06,0.48
015_BC_4,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_4,1.99,<0.05,83.35,12.68,228.45,465163.58,612.57,513.7,217.61,756.95,1.03,8.49,1.16,8.26,0.58,41.99,0.11,1.7,1.96,17.58,0.35,0.57,<0.24,0.33,3.55,1,0.72,0.05,<0.05,0.27,0.02,0.07,0.02,0.93,1.11,0.98,0.29,0.96,0.17,0.04,0.21,0.02,0.14,0.04,0.08,0.01,0.08,0.01,0.02,0.01,0.52,0.06,0.35
016_BC_4,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_4,2.21,0.25,87.38,15.78,261.56,465182.14,74.35,549.51,237.65,1314.03,0.93,142.57,1.08,6.58,1.2,33.22,0.18,2.66,4.8,18.12,0.36,0.89,<0.26,0.38,4.93,1.17,0.62,0.29,<0.06,0.18,0.03,0.08,0.02,1.28,1.13,1,0.26,1.02,0.24,0.04,0.2,0.03,0.15,0.04,0.05,0.01,0.13,0.04,0.01,0.03,0.34,0.09,0.49
017_BC_5,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_5,3.34,<0.18,68.72,17.42,301.05,465305.12,<22.49,528.49,245.17,1421.43,0.8,13.67,1.05,5.6,1.01,45.46,0.09,1.2,2.29,9.51,0.21,0.75,0.46,0.45,4.66,0.63,0.75,0.05,0.08,0.03,0.02,0.1,0.01,1.84,0.81,0.63,0.18,0.77,0.11,0.01,0.13,0.03,0.1,0.02,0.09,0.01,0.03,0.02,0.05,0.01,0.63,0.09,0.27
018_BC_5,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_5,2.38,<0.18,71.37,15.48,280.59,465693.85,80.05,536.86,233.44,702.9,0.77,14.64,1.49,5.86,0.76,58.4,<0.07,1.19,2.57,9.94,0.28,1.12,<0.26,0.41,2.79,0.94,0.72,0.07,0.06,0.09,<0.01,0.1,<0.01,1.63,1.15,0.9,0.3,1.02,0.21,0.06,0.15,0.03,0.12,0.04,0.06,0.02,0.05,0.03,0.01,0,0.7,0.06,0.27
023_BC_5,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_5,1.73,0.35,87.01,13.99,260.93,465974.23,<34.93,624.45,255.58,236.71,0.44,11.68,0.7,6.56,0.28,51.09,0.12,0.81,2.91,9.59,0.19,0.87,0.42,0.49,1.87,0.53,0.55,0.1,0.09,<0.03,0.03,0.09,0.03,1.25,0.81,0.73,0.24,0.61,0.06,0.04,0.1,0.03,0.1,0.02,0.06,0.01,0.03,0.01,0.03,0.01,0.42,0.07,0.31
024_BC_6,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_6,5.84,0.36,81.63,18.08,581.43,465620.96,<34.27,627.5,391.91,182.46,0.52,37.19,0.82,6.68,0.2,58.79,0.08,1.21,1.86,9.76,0.24,1.84,<0.29,0.71,2.09,0.43,0.74,0.28,<0.04,0.29,0.05,0.1,0.02,3.93,0.35,0.47,0.1,0.47,0.11,0.02,0.08,0.02,0.05,0.03,0.04,0.02,0.02,0,0.03,0.02,0.31,0.07,0.23
025_BC_6,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_6,3.89,0.22,85.18,15.21,416.92,465850.25,<35.51,552.68,288.14,254.74,0.67,19.14,0.53,6.31,0.55,101.1,0.22,1.31,4.94,10.36,0.2,1.68,<0.30,0.71,2.1,0.74,0.49,0.2,0.17,0.24,0.04,0.12,0.03,3.31,0.63,0.73,0.17,0.65,0.1,0.05,0.15,0.02,0.07,0.02,0.07,0.02,0.06,0.02,0.02,0.04,0.32,0.07,0.26
026_BC_6,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_6,6.79,<0.25,77.97,13.73,477.4,464550.46,907.9,581.02,301.07,578.53,<0.56,72.47,0.78,11.5,0.6,75.8,<0.14,0.85,2.4,8.77,<0.13,2.27,<0.59,0.6,4.29,1.65,0.8,0.21,<0.14,0.18,<0.01,<0.08,0.04,3.97,1.3,1.4,0.32,1.54,0.26,0.05,0.34,0.04,0.45,0.05,0.16,0.01,0.1,0,0.01,0.04,0.45,0.1,0.42
027_BC_7,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_7,4.74,0.49,71.49,34.63,397.85,462859.54,378.73,598.62,248.72,4179.07,0.98,24.39,2.73,7.4,5.06,70.28,0.29,3.04,3.48,17.26,0.24,1.38,0.98,0.71,14.38,2.51,0.79,0.11,0.07,0.34,0.04,0.13,0.04,2.57,2.77,2.54,0.79,2.78,0.56,0.14,0.54,0.07,0.37,0.08,0.15,0.03,0.09,0.05,0.02,0.01,1.14,0.15,0.59
028_BC_7,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_7,7.68,0.62,75.19,24.5,548.78,464814.72,<30.65,553.66,345.55,1607.54,0.73,22.94,2.5,6.59,1.98,88.81,0.28,3.76,1.99,14.11,0.29,1.3,0.69,0.77,5.79,1.02,0.82,0.08,0.17,0.35,0.01,0.14,0.06,3.02,1.22,1.36,0.31,1.19,0.25,0.07,0.26,0.03,0.14,0.03,0.08,0.01,0.07,0.01,0.05,0.02,1,0.07,0.42
029_BC_7,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_7,6.49,<0.05,71.5,18.58,471.42,465259.87,63.73,555.15,304.62,994.7,0.75,21.59,1.99,6.86,1.32,69.09,0.79,3.25,2.94,17.55,0.21,1.38,0.66,0.6,5.12,1.46,0.89,0.11,0.12,0.21,<0.01,0.08,0.03,2.26,1.65,1.5,0.44,1.58,0.33,0.08,0.32,0.04,0.2,0.04,0.11,0.02,0.07,0.03,0.05,0.01,1.3,0.09,0.37
030_BC_8,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_8,6.3,1.56,85.53,18.52,523.57,465204.92,138.57,671.62,489.71,498.17,1.05,22.88,0.76,6.65,0.33,60.15,0.11,2.29,4.33,10.87,0.7,1.68,0.43,1.06,4.28,1.78,1.16,0.54,0.11,0.15,0.05,0.16,0.04,1.54,1.33,1.58,0.36,1.55,0.26,0.08,0.21,0.04,0.19,0.05,0.15,0.02,0.08,0.02,0.06,0.04,0.54,0.14,1.14
031_BC_8,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_8,8.28,0.37,79.21,19.95,569.72,465561.42,<32.69,607.67,514.51,220.21,0.5,34.06,0.88,6.85,0.51,57.06,<0.07,1.05,4.86,8.6,0.84,1.81,0.41,1.11,2.59,0.5,1.24,0.8,0.19,0.26,<0.01,0.11,0.04,1.72,0.45,0.52,0.14,0.53,0.07,0.09,0.07,0.02,0.14,0.03,0.04,0,0.06,0.02,0.01,0.02,0.34,0.11,1.11
032_BC_8,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_8,5.81,0.91,91.65,20.27,503.76,465573.37,<34.93,637.04,472.54,234.92,0.55,25.34,0.58,7.62,0.67,82.65,0.15,3.58,1.88,8.85,0.87,1.9,0.36,1,2.49,0.49,1.15,0.62,0.17,0.03,0.04,0.14,0.04,1.4,0.51,0.62,0.16,0.55,0.08,0.02,0.09,0.03,0.08,0.01,0.09,0.01,0.03,0.01,0.03,0.03,0.3,0.19,1.21
033_BC_9,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_9,3.95,0.57,95.25,12.66,403.37,465760.26,<32.63,600.59,331.22,261.6,0.51,18.13,0.94,6.97,0.44,107.97,0.12,2.85,2.51,9.39,0.86,2.27,0.91,0.61,2.08,0.79,0.66,0.12,0.08,<0.03,<0.01,0.07,0.03,2.04,0.7,0.8,0.19,0.7,0.14,0.04,0.16,0.02,0.12,0.03,0.05,0.02,0.04,0.01,0.01,0.02,0.3,0.08,0.43
034_BC_9,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_9,3.91,<0.14,87.49,12.59,389.84,465803.56,<36.06,663.78,330.34,162.4,0.58,16.6,0.63,6.22,<0.20,71.28,0.11,1.08,1.15,9.06,0.86,2.6,0.32,0.62,1.79,0.61,0.51,0.15,0.17,<0.04,0.01,0.11,0.02,1.65,0.52,0.62,0.16,0.46,0.14,0.04,0.13,0.02,0.11,0.03,0.07,0.01,0.01,0.01,0.01,0.01,0.22,0.07,0.42
035_BC_9,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_9,2.89,0.54,86.67,11.62,308.4,465880.31,<33.65,611.62,279.11,228.16,0.55,65.35,0.5,7.16,<0.19,79.74,0.1,0.92,0.94,10.33,1.17,2.32,<0.29,0.55,1.55,0.57,0.68,0.27,0.3,<0.02,0.01,0.16,0.06,1.63,0.44,0.63,0.12,0.51,0.08,0.03,0.1,0.02,0.08,0.01,0.04,0.01,0.21,0.01,0.02,0.02,0.24,0.07,0.65
036_BC_10,Bedrock,Transitional,NA,BC,BC,NA,BC,BC_10,8.34,0.61,89.84,22.48,673.31,465043.2,92.62,656.35,423.22,379.06,0.58,45.43,2.67,8.09,1.68,366.66,0.14,1.88,1.07,11.85,0.28,1.53,0.77,0.99,3.09,1.06,0.78,0.28,0.18,0.08,<0.01,0.13,0.07,4.09,0.84,1.1,0.22,1.01,0.23,0.04,0.18,0.03,0.15,0.03,0.1,0.01,0.11,0.01,0.03,0.02,0.63,0.11,0.36
