Analysis,Geology,Province,Region,Site,SubSite,Formation,Band,Nodule,Li7,Be9,B11,Mg24,Al27,Si28,P31,S33,K39,Ca42,Sc45,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn68,Ga69,Ge72,As75,Rb85,Sr88,Y89,Zr90,Nb93,Mo95,Cd111,In115,Sn118,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
017_KY_5,Superficial,NA,BA,KY,KY,NA,KY,KY_5,7.49,0.1,64.56,23.68,752.45,465218.54,56.25,726.67,464.45,184.67,0.54,34.07,2.14,7.47,0.3,146.52,<0.10,1.28,1.95,10.42,0.61,1.89,0.48,1.17,2.59,0.56,0.75,0.17,<0.04,<0.03,<0.01,0.08,0.05,3.02,0.53,0.66,0.12,0.54,0.12,0.01,0.14,0.01,0.07,0.01,0.04,0.01,0.03,0,0.02,0.01,0.48,0.1,0.35
018_KY_5,Superficial,NA,BA,KY,KY,NA,KY,KY_5,8.78,0.35,64.36,25.49,791.16,465146.12,86.76,710.95,489.03,126.79,0.92,86.34,1.85,7.01,0.7,149.71,<0.11,1.66,1.12,11.75,0.33,1.75,0.4,1.48,2.63,0.53,3.52,0.17,<0.06,<0.04,0.01,0.13,0.07,3.58,0.54,0.5,0.13,0.48,0.07,0.01,0.09,0.01,0.08,0.02,0.04,0.01,0.04,0,0.09,0.01,0.79,0.08,0.28
019_KY_5,Superficial,NA,BA,KY,KY,NA,KY,KY_5,4.25,0.36,68.3,22.61,549.19,465484.83,81.61,665.64,333.27,143.11,0.78,42.62,2.73,6.73,0.74,224.26,<0.09,2.62,1.99,11.86,0.59,1.8,0.68,0.97,2.51,0.64,0.9,0.19,0.1,0.12,0.05,0.2,0.09,2.86,0.81,0.88,0.2,0.68,0.15,0.05,0.12,0.05,0.11,0.03,0.07,0.02,0.13,0.02,0.05,0.06,0.79,0.17,0.42
024_KY_6,Superficial,NA,BA,KY,KY,NA,KY,KY_6,13.65,0.71,67.06,34.36,1289.57,464404.65,60.1,739.61,669.81,215.32,0.85,63.59,3.68,8.06,0.54,362.62,0.51,3.7,1.55,11.03,0.49,1.5,1.7,1.72,3.52,2,1.32,0.32,0.17,0.16,0.06,0.13,0.11,6.52,1.41,2.21,0.63,2.27,0.7,0.19,0.59,0.14,0.52,0.12,0.28,0.08,0.19,0.06,0.12,0.05,0.97,0.24,0.3
025_KY_6,Superficial,NA,BA,KY,KY,NA,KY,KY_6,11.78,0.57,64.71,37.45,1276.22,464264.06,63.53,754.47,710.16,184.7,0.58,126.81,4.53,8.48,0.52,494.62,0.26,2.97,2.66,12.94,0.72,1.17,1.17,2.17,4.17,2.29,1.5,0.35,0.09,<0.05,0.01,0.16,0.11,7.81,1.47,1.91,0.57,2.3,0.5,0.1,0.55,0.08,0.54,0.09,0.23,0.02,0.22,0.03,0.03,0.02,2.64,0.19,0.43
026_KY_6,Superficial,NA,BA,KY,KY,NA,KY,KY_6,12.88,0.49,62.92,26.13,1071.2,464790.67,68.32,731.64,613.41,255.06,0.55,31.45,1.58,7.21,0.34,127.44,<0.09,1.05,2.11,10.5,0.4,1.31,0.59,1.27,3.74,2.78,0.93,0.16,<0.05,0.06,0.02,0.15,0.05,5.72,1.11,1.44,0.47,1.87,0.52,0.11,0.63,0.09,0.49,0.1,0.26,0.03,0.25,0.04,0.02,0.01,1.45,0.16,0.24
027_KY_7,Superficial,NA,BA,KY,KY,NA,KY,KY_7,24.56,<0.20,65.91,26.9,1182,464012.34,96.46,822.94,633.85,339.39,0.57,80.35,2.94,7.93,0.95,812.23,1.71,4.51,2.1,21.18,0.59,1.46,3.88,1.26,4.06,0.6,1.83,0.37,0.14,0.29,0.02,0.11,0.05,6.26,0.67,0.99,0.2,0.6,0.13,0.05,0.16,0.03,0.15,0.02,0.06,0.01,0.05,0.01,0.05,0.03,1.32,0.16,0.15
028_KY_7,Superficial,NA,BA,KY,KY,NA,KY,KY_7,23.68,<0.12,66.67,33.47,1253.85,463032.1,91.27,874.61,650.62,2113.98,0.56,122.01,1.9,8.2,1.94,253.08,0.46,1.32,0.93,14.42,0.99,1.17,0.48,1.53,4.75,0.65,1.86,0.47,<0.05,<0.05,0.01,0.14,0.06,4.91,0.82,0.98,0.21,0.75,0.2,0.07,0.16,0.03,0.13,0.02,0.06,0.02,0.05,0.02,0.04,0.04,0.5,0.16,0.14
029_KY_7,Superficial,NA,BA,KY,KY,NA,KY,KY_7,28.34,0.08,56.9,33.86,1436.22,463630.36,54.51,779.84,749.03,1055.42,0.65,102.48,2.16,8.23,1.13,342.73,0.11,0.87,1.41,11.35,0.55,1.52,0.74,1.57,5.09,0.4,1.59,0.39,<0.05,0.06,0.02,0.08,0.06,7.58,0.48,0.73,0.15,0.5,0.07,0.02,0.1,0.02,0.09,0.01,0.06,0.02,0.02,0.01,0.03,0.03,0.69,0.16,0.1
030_KY_8,Superficial,NA,BA,KY,KY,NA,KY,KY_8,15.4,0.09,68.2,29.93,1353.87,464226.39,58.29,801.8,670.07,403.4,0.54,131.6,2.36,7.94,0.52,164.79,0.15,1.46,0.99,11.95,0.5,1.98,0.36,1.54,4.99,0.52,2.3,0.5,<0.04,<0.04,0.02,0.17,0.06,7.74,0.7,1.18,0.2,0.63,0.15,0.02,0.11,0.02,0.12,0.02,0.06,0.01,0.05,0.01,0.06,0.04,0.62,0.23,0.16
031_KY_8,Superficial,NA,BA,KY,KY,NA,KY,KY_8,22.59,0.16,58.57,64.89,2149.62,463190.02,84.08,812.01,1126.37,303.79,0.73,154,3.66,9.43,1.05,246.16,0.21,1.4,16.66,11.17,1.36,1.31,0.63,3.5,5.43,0.43,2.16,0.66,<0.06,<0.07,0.03,0.32,0.13,15.14,0.76,1.12,0.17,0.81,0.08,0.03,0.13,0.01,0.08,0.01,0.06,0.01,0.03,0,0.04,0.05,1.26,0.22,0.1
032_KY_8,Superficial,NA,BA,KY,KY,NA,KY,KY_8,20.22,<0.12,61.86,34.31,1581.08,463405.48,362.77,856,814.23,258.07,0.49,283.38,3.13,11.11,1.49,361.81,0.28,1.2,1.29,15.36,0.63,1.1,1.32,1.9,5.34,0.79,4.31,0.89,<0.06,<0.05,0.03,0.08,0.04,9.66,0.86,1.45,0.23,0.78,0.16,0.03,0.18,0.02,0.17,0.03,0.06,0.01,0.1,0.02,0.08,0.05,1.44,0.27,0.2
033_KY_9,Superficial,NA,BA,KY,KY,NA,KY,KY_9,35.14,<0.22,26.38,43.74,1276.15,463599.94,66.8,806.84,696.79,1298.65,0.57,129.28,3.13,9.45,1.84,349.4,0.12,1.13,1.14,11.81,2.62,0.94,1.03,2.39,4.12,0.88,2.02,0.54,<0.06,0.14,<0.01,0.17,0.11,6.45,0.84,1.12,0.23,0.8,0.2,0.04,0.17,0.02,0.11,0.01,0.08,0.02,0.06,0.02,0.05,0.03,0.54,0.18,0.17
034_KY_9,Superficial,NA,BA,KY,KY,NA,KY,KY_9,32.92,0.21,46.33,28.88,1066.71,464032.71,67.79,789.03,592.11,1075.97,0.47,77.25,1.61,8.57,3.44,351.96,0.15,1.77,2.68,11.36,2.31,0.97,1.04,1.48,3.7,0.64,2.03,0.29,<0.05,<0.08,0.01,0.14,0.06,6.13,0.73,1.14,0.21,0.85,0.13,0.03,0.2,0.02,0.13,0.02,0.07,0.01,0.06,0.01,0.05,0.03,1.24,0.13,0.17
035_KY_9,Superficial,NA,BA,KY,KY,NA,KY,KY_9,10.21,<0.13,65.6,28.84,1009.47,463880.44,97.74,850.21,578.26,1467.31,0.48,52.89,1.25,7.98,1.24,129.93,<0.11,1.13,2.76,11.31,2.67,1.57,0.42,1.41,4.62,0.74,1.83,0.3,<0.06,<0.09,0.02,0.18,0.04,5.7,0.91,1.14,0.24,0.93,0.2,0.03,0.14,0.02,0.14,0.03,0.06,0.01,0.04,0.01,0.06,0.02,0.43,0.16,0.22
036_KY_10,Superficial,NA,BA,KY,KY,NA,KY,KY_10,19.83,<0.14,66.73,38.98,1730.75,463732.63,106.37,884.28,932.78,149.72,0.46,86.53,2.92,9.65,0.83,250.76,<0.13,1.91,0.84,11.26,1.84,1.19,0.53,2.54,5.02,0.73,1.61,0.36,<0.07,<0.11,0.02,0.2,0.13,13.64,0.82,1.28,0.25,0.98,0.28,0.03,0.18,0.02,0.14,0.01,0.05,0.02,0.07,0.01,0.09,0.03,0.46,0.23,0.15
037_KY_10,Superficial,NA,BA,KY,KY,NA,KY,KY_10,21.53,0.53,48.27,41.33,1884.68,463412.93,104.24,903.69,983.09,273.88,0.61,78.59,3.22,9.38,1.19,385.73,0.27,1.66,0.86,14.08,1.38,1.03,0.32,3.15,5.74,0.92,2.06,0.4,<0.07,<0.15,0.03,0.17,0.14,9.35,1.8,2.75,0.42,1.73,0.24,0.06,0.23,0.04,0.16,0.02,0.07,0.02,0.09,0.02,0.06,0.04,0.74,0.28,0.15
038_KY_10,Superficial,NA,BA,KY,KY,NA,KY,KY_10,23.61,0.43,61.69,35.82,1561.92,463879.48,232.78,809.45,865.51,242.2,0.64,88.18,2.09,10.02,0.76,151.93,0.16,1.52,0.91,11.16,1.39,0.88,<0.26,1.98,4.68,0.4,1.2,0.36,<0.06,0.11,0.01,0.23,0.09,9.28,0.73,1.25,0.19,0.72,0.2,0.03,0.11,0.01,0.08,0.02,0.03,0.01,0.02,0,0.03,0.03,0.82,0.26,0.14
043_KY_11,Superficial,NA,BA,KY,KY,NA,KY,KY_11,8.12,0.45,70.37,25.91,896.16,464834.32,119.12,859.91,569.44,124.06,<0.33,51.76,1.67,8.7,0.66,125.78,0.14,1.18,1.28,9.19,0.61,1.7,0.47,1.25,2.76,1.39,1.22,0.24,<0.09,0.24,0.04,0.15,0.05,4.02,1.13,0.93,0.26,1,0.22,0.09,0.21,0.03,0.18,0.05,0.16,0.01,0.08,0.03,0.05,0.04,0.54,0.14,0.39
044_KY_11,Superficial,NA,BA,KY,KY,NA,KY,KY_11,8.74,0.5,82.28,27.48,894.37,464625.56,150.7,852.21,539,288.62,0.93,88.38,3.42,7.53,0.71,193.86,0.16,1.44,2,11.32,1.03,1.8,<0.38,1.38,3.73,1.81,0.96,0.4,0.08,<0.05,0.08,0.24,0.08,4.68,1.62,1.44,0.34,1.47,0.17,0.11,0.39,0.12,0.3,0.14,0.17,0.03,0.14,0.06,0.07,0.09,1.35,0.17,0.35
045_KY_11,Superficial,NA,BA,KY,KY,NA,KY,KY_11,10.29,0.57,75.16,24.08,931.11,464798.44,92.78,779.36,579.47,293.16,0.66,51.05,2.11,7.12,0.7,132.79,0.18,1.27,1.78,8.09,1.09,1.1,0.56,1.29,2.93,1.13,1.38,0.2,0.17,<0.07,0.1,0.14,0.08,3.35,1.1,1.08,0.27,0.89,0.22,0.09,0.18,0.06,0.14,0.04,0.11,0.04,0.06,0.03,0.02,0.04,0.83,0.19,0.37
046_KY_12,Superficial,NA,BA,KY,KY,NA,KY,KY_12,2.78,0.53,74.55,18.1,493.01,465340.87,104.32,908.6,369.12,<101.73,0.5,31.82,2.11,7.37,0.35,169.9,0.13,1.05,0.65,8.25,0.27,1.19,<0.32,0.75,1.99,2.26,0.79,0.14,<0.06,0.08,0.03,0.28,0.04,2.28,1.33,1.3,0.24,0.97,0.19,0.03,0.27,0.04,0.19,0.04,0.14,0.02,0.13,0.02,0.01,0.01,0.49,0.08,0.34
047_KY_12,Superficial,NA,BA,KY,KY,NA,KY,KY_12,3.89,0.5,64.13,16.37,484.58,450173.38,13406.41,1281.64,323.84,764.13,<0.65,23.14,0.84,78.54,0.78,135.2,<0.19,0.76,0.41,34.07,0.21,1.64,0.65,0.53,2.12,1.04,0.76,0.1,<0.14,<0.15,0.04,0.12,0.06,1.73,0.99,1.1,0.29,0.87,0.16,0.08,0.25,0.04,0.35,0.05,0.13,0.05,0.09,0.02,0.03,0.03,0.41,0.06,0.3
048_KY_12,Superficial,NA,BA,KY,KY,NA,KY,KY_12,3.36,<0.15,78.34,16.89,507.51,465206.43,93.74,944.33,355.08,156.67,0.5,36.13,1.5,6.5,0.37,147,<0.11,0.59,0.64,11.18,0.22,0.87,<0.37,0.57,2.3,3,0.62,0.1,<0.10,<0.11,0.04,0.11,0.02,2.08,2.41,2.36,0.54,2.04,0.35,0.08,0.52,0.07,0.28,0.07,0.18,0.04,0.18,0.03,0.02,0.01,0.34,0.07,0.32
049_KY_13,Superficial,NA,BA,KY,KY,NA,KY,KY_13,22.65,<0.11,33.92,19.58,852.58,464327.27,69.12,1059.83,527.07,197.45,0.71,47.91,7.45,8.19,0.64,673.08,0.6,3.39,1.61,17.65,0.9,1.02,3.28,1.14,7.4,0.26,0.78,0.26,0.09,0.23,<0.01,0.08,0.05,98.12,0.31,0.34,0.07,0.29,<0.02,0.02,0.05,0.02,0.04,0.01,0.01,0,0.02,0.01,0.03,0.02,0.63,0.09,0.37
050_KY_13,Superficial,NA,BA,KY,KY,NA,KY,KY_13,7.98,0.14,90.45,25.62,1015.55,459948.07,4307.28,963.21,648.45,298.27,0.62,37.65,2.25,29.38,<0.34,91.13,0.15,0.75,1.37,18.36,0.36,2.15,<0.33,1.48,2.9,0.27,1.08,0.26,<0.06,<0.06,<0.01,0.1,0.08,5.59,0.6,1.02,0.16,0.5,0.05,0.01,0.01,0.02,0.04,0.01,0.02,0.03,0.01,0,0.03,0.01,0.3,0.12,0.23
051_KY_13,Superficial,NA,BA,KY,KY,NA,KY,KY_13,8.26,0.21,93.91,22.33,881.88,464932.47,55.13,770.74,598.13,218.24,0.63,53.61,1.92,6.79,0.53,88.09,0.15,1.16,0.89,11.53,0.47,1.9,0.36,1.26,2.66,0.23,1.54,0.26,<0.06,0.1,0.01,0.09,0.05,4.23,0.34,0.48,0.09,0.29,0.04,0.02,0.08,0.01,0.05,0.02,0.02,0.01,0.03,0.01,0.04,0.02,0.32,0.13,0.24
027_BF_1,Superficial,NA,BA,BF,BF,NA,BF,BF_1,16.67,0.33,51.65,50.67,1906.35,463727.69,108.8,528.78,970.42,494.22,1.11,120.17,3.7,8.18,0.89,255.96,0.25,1.59,4.02,12.27,0.81,1.75,0.6,2.38,6.77,0.99,4.24,0.43,0.19,0.11,0.02,0.19,0.09,8.1,0.98,1.57,0.29,1.11,0.2,0.08,0.23,0.03,0.12,0.03,0.08,0.02,0.1,0.01,0.1,0.03,0.88,0.26,0.18
028_BF_1,Superficial,NA,BA,BF,BF,NA,BF,BF_1,15.87,0.14,58.88,54.5,2104.91,460394.07,2971.32,669.81,1039.13,372.19,0.74,143.43,2.33,31.48,<0.31,136.61,<0.12,1.45,1.54,11.69,0.75,1.68,<0.32,2.77,6.31,0.57,2.46,0.47,<0.06,0.1,0.01,0.21,0.09,8.15,0.82,1.46,0.24,0.79,0.15,0.03,0.12,0.01,0.08,0.03,0.09,0.01,0.04,0.01,0.09,0.04,0.59,0.21,0.18
029_BF_1,Superficial,NA,BA,BF,BF,NA,BF,BF_1,20.46,0.48,55.08,59.52,2050.72,463320.21,86.06,578.94,1089.63,388.76,1.16,120.77,5.64,8.15,1.25,635.22,0.37,1.99,2.4,14.62,1.11,1.56,1.09,2.98,6.85,0.92,1.96,0.43,<0.06,<0.03,0.02,0.15,0.14,9.76,1.12,1.83,0.34,1.35,0.28,0.03,0.33,0.05,0.11,0.02,0.09,0.04,0.03,0.02,0.06,0.03,1.46,0.27,0.22
030_BF_2,Superficial,NA,BA,BF,BF,NA,BF,BF_2,6.2,<0.14,80.66,41.81,672.06,462958.31,60.79,607.68,482.46,3956.29,0.6,28.84,1.4,7.04,3.37,71.04,0.15,1.78,1.31,9.43,0.89,1.56,<0.18,0.78,6.24,0.35,0.77,0.17,0.13,<0.06,0.03,0.13,0.02,1.69,0.51,0.44,0.11,0.37,0.05,0.03,0.09,0.01,0.05,0.01,0.04,0.01,0.01,0.01,0.05,0.02,0.26,0.08,0.3
031_BF_2,Superficial,NA,BA,BF,BF,NA,BF,BF_2,6.01,<0.05,74.81,28.6,772.68,464416.99,85.65,625.68,562.76,1484.81,0.56,26.1,1.37,6.45,0.95,69.07,0.12,1.24,1.75,10.55,2.06,1.6,0.3,0.96,4.06,0.29,1,0.2,0.04,<0.08,0.02,0.16,0.03,2.09,0.34,0.32,0.08,0.26,0.09,0.02,0.02,0.01,0.05,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.4,0.08,0.35
032_BF_2,Superficial,NA,BA,BF,BF,NA,BF,BF_2,6.14,<0.05,72.53,18.01,633.45,465371.12,54.66,590.32,466.53,475.89,0.81,12.02,0.69,6.19,0.31,42.63,<0.09,0.91,1.8,9.41,1.08,1.99,<0.21,0.73,2.56,0.2,0.66,0.09,<0.04,<0.05,0.02,0.08,0.03,1.45,0.25,0.26,0.06,0.28,0.03,0.01,0.06,0,0.04,<0.00,0.03,0.01,0.03,0,0.02,0.01,0.14,0.07,0.33
033_BF_3,Superficial,NA,BA,BF,BF,NA,BF,BF_3,6.17,<0.06,64.44,23.44,794.46,464964.21,151.01,525.55,519.82,706.74,0.67,48.53,1.88,6.57,1.94,95.56,0.13,1.22,2.17,8.89,0.67,1.6,<0.22,0.97,3.34,0.35,1.14,0.33,<0.06,0.22,0.05,0.11,0.05,2.52,0.49,0.44,0.1,0.22,0.1,<0.00,0.04,0.03,0.09,0.01,0.05,0,0.02,0,0.03,0.03,0.17,0.07,0.33
034_BF_3,Superficial,NA,BA,BF,BF,NA,BF,BF_3,7.08,<0.07,76.3,46.35,743.23,461981.1,121.84,715.56,453.62,4316.89,0.49,52.17,4.11,8.23,10.31,857.45,0.24,1.47,0.86,13.85,1.71,1.57,0.81,1,7.76,0.94,1.28,0.35,0.09,<0.09,<0.01,0.21,0.04,3.73,1.03,1.12,0.25,1.07,0.11,0.03,0.23,0.04,0.06,0.03,0.06,0.01,0.02,0,0.01,0.02,0.97,0.13,0.39
035_BF_3,Superficial,NA,BA,BF,BF,NA,BF,BF_3,6.64,<0.05,80.47,22.31,738,464934.92,101.55,659.67,512.97,678.33,0.6,46.26,1.31,6.89,2.17,54.66,<0.09,1.01,1.7,9.8,0.83,1.6,<0.22,0.86,4.31,0.58,1.07,0.26,<0.04,<0.05,0.01,0.1,0.02,2,0.66,0.65,0.13,0.5,0.12,0.02,0.11,0.01,0.11,0.02,0.05,0,0.05,0.01,0.04,0.01,0.22,0.14,0.33
040_BF_4,Superficial,NA,BA,BF,BF,NA,BF,BF_4,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL,< DL
041_BF_4,Superficial,NA,BA,BF,BF,NA,BF,BF_4,46.32,<0.16,33.83,44.66,1837.15,463796.84,78.6,755.93,961.77,128.09,0.95,130.76,3.85,9.26,1.61,241.08,0.59,2.58,4.59,13.66,0.69,1.44,1.16,2.45,5.49,0.56,9.81,0.71,0.26,0.09,0.08,0.33,0.15,8.1,0.85,1.54,0.24,0.86,0.2,0.06,0.14,0.04,0.1,0.05,0.06,0.07,0.11,0.06,0.24,0.09,1.4,0.34,0.32
042_BF_4,Superficial,NA,BA,BF,BF,NA,BF,BF_4,15.18,<0.19,82.52,34.07,1373.11,463803.88,99.49,740.86,829.34,<100.11,0.79,74.75,1.97,7.63,0.73,1202.7,0.74,4.5,2.17,12.27,1.06,1.63,1.82,1.74,4.06,0.51,2.52,0.35,0.11,0.31,0.05,0.21,0.12,4.72,0.48,0.66,0.21,0.62,0.23,0.08,0.17,0.06,0.2,0.08,0.15,0.06,0.07,0.05,0.14,0.1,1.14,0.25,0.2
043_BF_5,Superficial,NA,BA,BF,BF,NA,BF,BF_5,7.11,<0.31,71.59,23.05,828.31,464854.34,184.85,885.53,571.74,<141.35,0.52,28.52,1.04,7.61,<0.39,194.92,<0.14,1.03,<0.28,12.53,0.29,2.54,<0.36,1.04,3.11,0.6,1.38,0.18,0.08,<0.06,0.06,0.18,0.02,2.53,0.59,0.91,0.17,0.6,0.24,0.04,0.2,0.02,0.13,0.06,0.06,0.02,0.1,0.02,0.05,0.02,0.3,0.16,0.23
044_BF_5,Superficial,NA,BA,BF,BF,NA,BF,BF_5,23.26,0.29,39.58,21.59,802.32,464960.06,142.4,765.82,516.59,186.46,0.69,69.72,2.51,8,0.55,204.51,0.1,2.42,0.54,12.13,0.3,1.88,0.92,1.19,2.59,0.99,5.58,0.41,0.13,0.04,0.06,0.19,0.07,3.18,0.66,0.92,0.21,0.64,0.1,0.1,0.14,0.05,0.16,0.07,0.1,0.04,0.19,0.03,0.2,0.03,0.49,0.17,0.18
045_BF_5,Superficial,NA,BA,BF,BF,NA,BF,BF_5,6.46,0.26,63.57,22.06,842.5,450274.17,13244.78,1057.61,532.72,569.31,<0.65,46.95,1.43,78.62,<0.60,154.66,<0.27,1.41,0.63,18.56,0.39,1.35,<0.59,0.81,2.96,0.51,0.78,0.22,0.16,0.36,0.06,0.25,0.05,2.65,0.66,0.77,0.22,0.57,0.14,0.06,0.23,0.02,0.05,0.02,0.07,0.02,0.03,0.04,0.17,0.04,0.34,0.15,0.19
046_BF_6,Superficial,NA,BA,BF,BF,NA,BF,BF_6,13.34,<0.10,66.83,36.44,1330.37,464233.03,95.38,735.04,786.62,443.7,0.63,49.93,1.58,6.95,1.05,209.56,0.25,1.81,2.31,10.35,0.44,1.44,0.42,1.91,4.25,0.47,0.78,0.23,<0.06,<0.05,0.06,0.11,0.11,5.64,0.52,0.83,0.19,0.59,0.22,0.06,0.16,0.04,0.12,0.05,0.22,0.07,0.07,0.04,0.09,0.06,0.46,0.18,0.23
047_BF_6,Superficial,NA,BA,BF,BF,NA,BF,BF_6,16.76,0.34,58.46,33.06,1148.75,464028.53,139.38,712.83,668.15,835.56,0.89,43.86,2.12,6.09,1.47,490.53,0.7,3,1.78,11.42,0.7,1,0.83,1.46,4.24,0.47,1.31,0.21,0.12,0.06,0.08,0.15,0.08,4.51,0.61,0.83,0.17,0.56,0.15,0.04,0.12,0.05,0.1,0.03,0.16,0.04,0.07,0.04,0.06,0.04,0.74,0.16,0.19
048_BF_6,Superficial,NA,BA,BF,BF,NA,BF,BF_6,8.6,0.3,67.26,46.27,876.4,462926.13,183.06,747.17,552.34,2810.97,1,46.25,1.56,6.5,3.49,507.15,0.86,2.57,1.62,11.65,0.53,1.68,0.8,1.11,6.45,0.52,0.9,0.25,0.14,0.43,0.13,0.25,0.1,3.56,0.53,0.67,0.19,0.5,0.18,0.07,0.17,0.05,0.14,0.09,0.21,0.09,0.16,0.06,0.08,0.07,0.77,0.18,0.28
049_BF_7,Superficial,NA,BA,BF,BF,NA,BF,BF_7,7.65,<0.16,67.65,32,888.75,463767.59,228.83,848.39,590.25,1317.61,0.68,33.61,3.51,7.37,2.38,434.25,0.13,1.46,3.25,10.44,0.56,1.21,0.74,1.13,5.23,1.15,1.08,0.17,0.07,0.21,0.04,0.2,0.09,2.57,1.45,1.58,0.37,1.33,0.14,0.09,0.24,0.07,0.16,0.04,0.12,0.03,0.06,0.02,0.06,0.04,3.12,0.15,0.29
050_BF_7,Superficial,NA,BA,BF,BF,NA,BF,BF_7,6.08,0.32,79.6,30.06,844.93,462986.86,1261.72,958.96,575.68,985.39,0.75,28.13,1.78,13.43,1.13,99.22,0.16,1.96,3.5,10.86,0.61,1.12,0.57,1.12,4.65,0.72,1.32,0.2,0.13,0.08,0.05,0.18,0.06,2.73,0.76,0.73,0.18,0.57,0.22,0.06,0.13,0.04,0.11,0.02,0.06,0.03,0.05,0.03,0.04,0.04,1.29,0.14,0.33
051_BF_7,Superficial,NA,BA,BF,BF,NA,BF,BF_7,17.49,<0.13,34.95,33.09,769.76,462951.7,397.53,817.04,457.3,2950.19,0.59,67.04,2.24,6.2,2.26,100.12,<0.12,1.52,2.44,12.69,0.29,1.13,<0.23,0.94,8.08,0.79,0.93,0.2,<0.05,0.21,0.03,0.14,0.04,2.67,0.94,0.86,0.16,0.75,0.19,0.05,0.09,0.03,0.09,0.06,0.06,0.02,0.08,0.02,0.09,0.01,1.54,0.09,0.11
052_BF_8,Superficial,NA,BA,BF,BF,NA,BF,BF_8,14.74,0.16,50.91,52.99,1675.94,462573.55,330.79,944.66,929.26,1498.04,1.11,85.74,4.74,8.41,2.21,307.79,0.66,2.1,2.25,12.51,0.53,1.71,0.71,2.42,7.01,0.64,1.52,0.31,<0.09,0.12,<0.01,0.14,0.07,7.4,0.79,1.1,0.21,0.84,0.13,0.02,0.14,0.02,0.1,0.02,0.05,0.01,0.02,0.06,0.03,0.03,1.23,0.21,0.15
053_BF_8,Superficial,NA,BA,BF,BF,NA,BF,BF_8,14.75,0.11,56.43,63.5,2249.87,463170.21,118.08,776.58,1167.98,267.99,0.84,137.39,3.94,8.45,0.72,197.78,0.13,1.02,1.41,9.37,0.77,1.52,0.39,4.13,6.59,0.58,2.48,0.51,0.09,0.09,0.04,0.15,0.17,13.01,1.08,1.63,0.29,1.09,0.24,0.06,0.1,0.02,0.08,0.02,0.06,0.02,0.05,0.02,0.07,0.05,1.06,0.28,0.13
054_BF_8,Superficial,NA,BA,BF,BF,NA,BF,BF_8,18.38,0.2,47.2,46.46,1749.57,463926.64,<84.84,683.84,925.65,496.82,1.01,88.67,2.66,6.84,0.73,158.13,0.13,1.16,0.94,10.46,0.57,1.1,0.35,2.22,5.59,0.75,1.47,0.35,0.08,0.04,0.04,0.12,0.1,6.46,0.88,1.48,0.27,1.04,0.21,0.06,0.19,0.02,0.11,0.03,0.08,0.01,0.08,0.01,0.04,0.04,0.63,0.23,0.14
059_BF_9,Superficial,NA,BA,BF,BF,NA,BF,BF_9,6.42,<0.21,69.83,22.1,711.27,464825.27,<198.73,842.49,429.98,819.64,<0.46,39.94,0.73,5.97,0.77,63.81,<0.15,1.03,0.46,11.72,0.46,2.18,0.34,0.73,3.76,0.51,1.15,0.3,<0.09,0.23,0.07,0.14,0.04,2.25,0.61,0.81,0.16,0.68,0.06,0.03,0.17,0.02,0.09,0.09,0.04,0.02,0.03,0.04,0.05,0.06,0.36,0.18,0.14
060_BF_9,Superficial,NA,BA,BF,BF,NA,BF,BF_9,11.09,<0.70,62.08,28.43,718.26,465427.07,<629.51,799.36,371.4,<468.02,<1.39,94.43,<1.09,<2.37,<1.51,34.73,<0.43,<0.96,<0.86,<9.08,<0.40,<1.98,<0.90,0.99,5.1,0.8,1.36,0.68,<0.36,<0.22,<0.06,0.49,0.04,3.74,1.18,1.36,0.23,1,<0.15,0.02,0.2,0.08,0.07,0.09,0.1,<0.00,0.09,0.08,<0.03,0.02,0.53,0.09,0.19
061_BF_9,Superficial,NA,BA,BF,BF,NA,BF,BF_9,12.1,0.42,75.81,31.03,993.81,450971.13,12065.99,1184.83,564.58,927.51,0.58,56.75,2.61,24.11,1.34,191.68,0.21,4.19,1.63,16.15,0.37,2.61,1.38,1.43,4.28,0.73,1.19,0.37,0.13,0.17,0.07,0.31,0.07,4.64,0.7,0.92,0.21,0.83,0.15,0.05,0.15,0.03,0.14,0.02,0.09,0.02,0.05,0.02,0.06,0.05,0.46,0.12,0.15
