,tsne1,tsne2,class
327,8.975515,-2.965861,SL
328,10.412072,-14.16209,SL
329,8.524035,-16.268494,SL
330,-6.8833995,-19.626059,SL
331,3.8263674,-20.507921,SL
332,9.446784,-9.509404,SL
333,-17.606424,-10.19107,SL
334,17.927082,-9.82858,SL
335,8.289811,-10.304345,SL
336,8.89539,-8.894698,SL
337,6.956609,-10.862197,SL
338,7.977974,-7.8324566,SL
339,-8.613449,-10.625939,SL
340,7.178278,-10.373106,SL
341,10.804059,-11.588666,SL
342,10.56097,-15.44359,SL
343,8.313648,-17.556541,SL
344,10.07119,-10.15974,SL
345,4.7332006,-23.212097,SL
346,9.467725,-8.397789,SL
347,10.0333805,-13.011279,SL
348,10.523709,-11.793229,SL
349,10.129785,-15.907233,SL
350,28.142548,12.513942,SL
351,31.389067,16.646603,SL
352,30.068827,16.76782,SL
353,30.453283,15.770415,SL
354,31.205872,15.692243,SL
355,30.494501,14.739072,SL
356,31.373741,15.252312,SL
357,31.333603,14.616633,FG
358,28.565561,14.288088,FG
359,27.857574,14.510884,FG
360,28.234304,13.534879,FG
361,30.958315,14.196659,FG
362,29.672836,14.209402,FG
363,30.102026,13.955954,FG
364,29.378319,15.059639,FG
365,2.3020883,21.576235,FG
366,28.733496,15.888969,FG
367,2.125967,-16.370472,FG
368,3.5686295,-21.273342,FG
369,1.9725627,-18.842894,FG
370,5.4826503,-20.036259,FG
371,1.3828717,-22.67151,FG
372,0.5590465,-20.916975,FG
373,2.3103697,-13.4953575,FG
374,1.2720736,-12.577947,FG
375,4.4587574,-13.765349,FG
376,2.8303015,-23.215889,FG
377,2.2627392,-20.644743,FG
378,4.9475546,-20.272568,FG
379,4.8699193,-18.481894,FG
380,4.2407627,-17.27585,FG
381,6.243563,-22.57964,FG
382,4.530821,-10.788071,FG
383,4.2976093,-9.028865,FG
384,4.5272164,-10.602878,
385,4.559361,-19.395115,WB
386,1.4347539,-20.491844,WB
387,3.863417,-18.017828,WB
388,4.5774136,-21.794956,WB
389,7.9343266,-18.089838,WB
390,3.4118829,-22.025946,WB
391,3.6835718,-18.018286,WB
392,2.444614,-12.746616,WB
393,2.939033,-12.16761,WB
394,4.414112,-13.73766,WB
395,14.755329,-14.198189,WB
396,11.421719,-16.585926,WB
397,20.487288,15.246797,WB
398,5.730475,1.5790021,WB
399,7.1076083,23.351068,WB
400,15.5336075,13.700041,WB
401,16.387766,13.705604,WB
402,16.232634,12.471916,
403,21.697989,17.981232,
404,21.118069,18.013468,
405,22.184452,18.987066,
406,17.33629,15.120421,
407,16.95316,14.675285,
408,16.676268,14.135127,
409,20.140497,16.584356,
410,15.284053,15.844264,
411,10.7327795,21.003954,
412,16.375467,14.375444,
413,1.9702852,7.8081045,
414,14.77973,15.553373,
415,21.639153,3.819613,
416,19.703947,7.297466,
417,20.942423,6.901713,
418,9.908917,21.453886,
419,8.250575,14.808881,
420,10.200689,13.518582,
421,19.557333,5.998273,
422,19.721659,6.6528506,
423,19.74497,8.61853,
424,11.625044,15.036394,
425,-12.036236,-16.388681,
426,12.201623,14.304709,
427,-16.52863,10.084321,
428,1.9644247,0.33551908,
429,7.001162,10.407127,
430,-12.322261,7.5850835,
431,-4.4153113,7.9851813,
432,-10.0724945,7.8151894,PF
433,5.1217766,11.348326,PF
434,5.4191356,11.277508,PF
435,22.028748,-5.6888895,PF
436,20.189648,9.185228,PF
437,11.105622,15.22828,PF
438,19.291748,-3.5436027,PF
439,-1.1004863,17.73649,PF
440,-5.315118,18.870153,PF
441,-14.339089,18.58471,PF
442,15.414774,-3.3290136,PF
443,10.0031185,6.217268,PF
444,12.219495,1.1580473,PF
445,15.3662405,15.138189,PF
446,18.288456,-3.3676567,PF
447,13.2241,-0.95492786,PF
448,15.039426,-4.5145445,PF
449,19.73876,0.25645804,PF
450,12.799057,-3.9002078,PF
451,24.233887,10.052339,PF
452,-9.713279,3.222325,PF
453,-20.426638,-0.7442866,PF
454,-4.664145,-5.1911125,PF
455,-6.9311786,0.015138194,PF
456,10.14434,-6.5802026,PF
457,11.1944065,1.2674944,PF
458,8.772967,-5.5727134,PF
459,10.470347,-6.383971,PF
460,-7.836018,-19.661266,PF
461,-19.533337,-0.06971752,PF
462,15.917447,-3.8003216,
463,13.660458,24.811987,
464,9.006242,12.571645,
465,13.82765,24.554457,
466,12.363705,27.296577,
467,11.986188,24.25589,
468,13.491716,25.882366,
469,16.168581,26.22262,
470,19.494675,19.414288,
471,15.894038,25.801977,
472,0.07905646,-7.6564207,
473,11.176177,2.9253974,
474,12.269311,5.5666056,
475,13.671122,11.556925,
476,12.502904,12.266403,
477,9.452317,3.6839323,
478,11.465479,4.841469,
479,3.0108943,5.6882234,
480,-4.0082026,-2.86742,
481,9.254693,8.354746,
482,-3.2308862,1.9060236,
483,17.60713,10.89437,
484,-10.37985,-20.633945,
485,16.12332,9.546836,
486,-10.039344,-20.799427,
487,2.3170323,-1.0255888,
488,-9.103454,-20.984861,
489,17.752916,11.19232,
490,-11.484582,-21.453947,
