,tsne1,tsne2,inlierLabel
310,11.973959,-1.3176239,-1
311,-1.4177753,4.155733,1
312,-3.5485067,-20.931477,1
313,-1.575246,-10.171114,-1
314,-3.9113278,-21.698267,-1
315,-9.59296,1.5042149,-1
316,-0.8219983,13.824912,-1
317,-1.1002511,13.288256,-1
318,13.70728,-1.4359373,1
319,11.733861,-3.113929,-1
320,14.010771,-1.8784156,1
321,21.816818,-0.94702667,-1
322,22.762266,1.4389126,-1
323,22.457058,0.77944803,1
324,15.21251,-8.602613,1
325,-13.333854,2.3085515,1
326,-2.3067214,3.851181,1
327,-1.4473877,15.352883,-1
328,-17.506237,10.889505,1
329,-18.592535,4.7068396,1
330,-18.772839,4.9030786,1
331,-14.523122,7.3126893,1
332,-13.695818,6.7276115,-1
333,-14.36521,7.073585,1
334,-15.686739,10.301484,1
335,-15.439327,10.784002,-1
336,-18.541016,9.097909,1
337,-17.04457,9.403627,1
338,-17.437847,9.596261,1
339,10.333887,-4.630973,1
340,16.189238,2.995046,1
341,10.209674,-4.759955,1
342,20.805645,0.99655616,-1
343,18.395239,3.3682067,1
344,21.86219,6.590973,1
345,0.9192903,-0.32023373,1
346,1.252318,-1.0575522,1
347,0.63757926,-0.9459219,1
348,-7.712372,8.49819,-1
349,-6.5804257,8.3817215,1
350,-5.659371,8.372688,1
351,-21.195436,7.219839,1
352,-22.263126,6.728312,1
353,-22.479492,7.232358,1
354,-2.234476,-0.2391792,-1
355,-3.220826,-0.34810886,-1
356,-3.3126082,-0.3861796,-1
357,-19.337973,-0.50940895,-1
358,-19.12808,7.729391,1
359,-20.885166,2.450522,-1
360,-0.79999584,-6.46508,-1
361,0.58581597,11.376836,-1
362,-1.7322559,-5.6503196,1
