REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,BISMUTH,SILVER,BULLION,,,,,
BCC173,denarius,CAESAR DIVI F DOMITIANVS COS VII,PRINCEPS IVVENTVTIS,Rome,Titus,Domitian,0.002,0.593,18.06,0.007,0.001,0.38,0.001,0.0008,0.0009,0.00006,0.00004,0.0001,0.02,80.94,81.93,,,,,
BCC174,denarius,CAESAR DIVI F DOMIT[IANVS COS VII],"PRINCEPS IVVENTVTIS, altar.",Rome,Titus,Domitian,0.009,0.597,22.59,0.005,0.002,0.2,0.017,0.0012,0.0248,0.00018,0.00005,0.0001,0.001,76.55,77.35,,,,,
BCC175,denarius,CAESAR DIVI F DOMITIANVS COS [VII],"PRINCEPS IVVENTVTIS, altar.",Rome,Titus,Domitian,0.003,0.663,25.22,0.014,0.002,1.16,0.014,0.0183,0.001,0.00008,0.00005,0.0001,0.015,72.89,74.72,,,,,
BCC176,denarius,IMP CAES DOMITIANVS AVG PM,TR P COS VII DES VIII PP,Rome,Domitian,Domitian,0.002,0.572,22.65,0.009,0.003,0.5,0.003,0.0213,0.0001,0.00003,0.00004,0.0001,0,76.23,77.31,,,,,
BCC177,denarius,IMP CAES DOMIT AVG GERM PM TR P V,IMP XII COS XII CENS PP,Rome,Domitian,Domitian,0.003,0.004,13.29,0.006,0.002,1.09,0.001,0.0011,0.0001,0.00005,0.00005,0.0003,0.021,85.59,86.7,,,,,
BCC178,denarius,IMP CAES DOMIT AVG GERM PM TR P VII,IMP XIIII COS XIIII CENS P P P,Rome,Domitian,Domitian,0.002,0.682,11.97,0.005,0,0.39,0.005,0.001,0.0001,0.00008,0.00004,0.0004,0.008,86.94,88.02,,,,,
BCC179,denarius,IMP CAES DOMIT AVG GERM PM TR P VIII,IMP XVII COS XIIII CENS P P P,Rome,Domitian,Domitian,0.003,0.454,8.2,0.004,0.001,0.43,0.001,0.0012,0.0001,0.00006,0.00005,0.0001,0.019,90.89,91.79,,,,,
BCC18,denarius,IMP TITVS CAES VESPASIAN AVG PM,"TRP IX IMP XV COS VIII PP, Throne.",Rome,Titus,Titus,0.003,0.401,4.27,0.004,0,0.38,0.017,0.0011,0.0009,0.00009,0.00005,0.0001,0.04,94.89,95.7,,,,,
BCC180,denarius,IMP CAES DOMIT AVG GERM PM TR P VIII,IMP XXI COS XIIII CENS P P,Rome,Domitian,Domitian,0.003,0.635,13.36,0.004,0.001,0.39,0.009,0.0011,0.0003,0.00007,0.00005,0.0003,0.023,85.58,86.63,,,,,
BCC181,denarius,[IMP CAES] DOMIT AVG GERM PM TR P VIIII,IMP XXI COS XV CENS P PP,Rome,Domitian,Domitian,0.003,0.226,8.06,0.002,0,0.47,0.007,0.0011,0.0001,0.00004,0.00131,0.0802,0.018,91.12,91.84,,,,,
BCC182,denarius,IMP CAES DOMIT AVG GERM PM TR P VIIII  ,IMP XXI COS XV CENS P PP,Rome,Domitian,Domitian,0.003,0.568,11.39,0.001,0,0.31,0.001,0.0098,0.0001,0.00003,0.00005,0.0001,0.01,87.7,88.59,,,,,
BCC183,denarius,IMP CAES DOMIT AVG GERM PM TR P VIIII  ,IMP XXI COS XV CENS P PP,Rome,Domitian,Domitian,0.002,0.601,8.78,0.006,0.002,0.52,0.002,0.001,0.0001,0.00004,0.00244,0.1022,0.009,89.96,91.1,,,,,
BCC184,denarius,IMP CAES DOMIT AVG GERM PM TR P VIIII  ,IMP XXI COS XV CENS P PP,Rome,Domitian,Domitian,0.003,0.756,7.85,0.004,0.001,0.43,0.009,0.001,0.0006,0.00045,0.00005,0.0007,0.005,93.7,94.89,,,,,
BCC185,denarius,IMP CAES DOMIT AVG GERM PM TR P XI  ,IMP XXI COS XV CEN[S P PP],Rome,Domitian,Domitian,0.002,0.411,5.44,0.002,0.001,0.55,0.011,0.001,0.0001,0.00003,0.00004,0.0004,0.01,93.87,94.83,,,,,
BCC186,denarius,IMP CAES DOMIT AVG GERM PM TR P XIII  ,IMP XXII COS XVI CENS P PP,Rome,Domitian,Domitian,0.002,0.418,7.72,0.002,0.001,0.66,0.001,0.001,0.0001,0.00006,0.00004,0.0303,0.016,91.15,92.25,,,,,
BCC187,denarius,IMP CAES DOMIT AVG GERM PM TR P XIIII  ,IMP XXII COS XVII CENS P PP,Rome,Domitian,Domitian,0.003,0.161,5.9,0.01,0.001,0.61,0.001,0.0011,0.0002,0.00007,0.00005,0.0001,0.052,93.26,94.09,,,,,
BCC188,denarius,IMP CAES DOMIT AVG GERM PM TR P XIIII  ,IMP XXII COS XVII CENS P PP,Rome,Domitian,Domitian,0.003,0.317,6.94,0.02,0.002,0.52,0.001,0.0012,0.0007,0.00061,0.00005,0.0005,0.027,92.16,93.03,,,,,
BCC189,denarius,IMP CAES DOMIT AVG GERM PM TR P XIIII  ,IMP XXII COS XVII CENS P PP,Rome,Domitian,Domitian,0.002,0.176,10.06,0.004,0.001,0.57,0.001,0.0032,0.0009,0.00004,0.00004,0.0001,0.016,89.17,89.92,,,,,
BCC19,denarius,IMP CAES DOMITIANVS AVG PM  ,"COS VII DES VIII PP, Thunderbolt on throne.",Rome,Domitian,Domitian,0.003,0.544,21.15,0.007,0.003,0.93,0.005,0.001,0.0003,0.00007,0.00005,0.0001,0,76.86,78.33,,,,,
BCC190,denarius,IMP CAES DOMIT AVG GERM PM TR P XV  ,IMP XXII COS XVII CENS P PP,Rome,Domitian,Domitian,0.003,0.448,13.12,0.004,0.002,0.52,0.001,0.0012,0.0007,0.00048,0.00021,0.0005,0.015,85.88,86.86,,,,,
BCC191,denarius,IMP CAES VESP AVG PM COS IIII CEN,SALVS AVG,Rome,Vespasian,Vespasian,0.006,0.628,19.54,0.005,0.001,0.26,0.01,0.0012,0.0014,0.00003,0.00005,0.0001,0.001,79.55,80.43,,,,,
BCC192,denarius,CAESAR AVG F DOMITIANVS COS VI,"PRINCEPS IVVENTVS, Vesta std.",Rome,Vespasian,Domitian,0.003,0.689,21.4,0.007,0.001,0.51,0.01,0.0011,0.0006,0.00003,0.00005,0.0003,0,77.37,78.58,,,,,
BCC2,denarius,IMP SER GALBA CAESAR AVG  ,DIVA AVGVSTA,Rome,Galba,Galba,0.003,0.684,7.68,0.004,0.002,1.61,0.008,0.0229,0.0094,0.00003,0.00005,0.0001,0.02,91.55,93.86,,,,,
BCC20,denarius,IMP CAES DIVI VESP F DOMITIAN AVG PM  ,"TRP COS VII DES VIII, Dolphin.",Rome,Domitian,Domitian,0.003,0.748,9.51,0.008,0.001,0.73,0.014,0.0011,0.0001,0.00003,0.00005,0.0001,0.025,85.31,86.82,,,,,
BCC21,denarius,IMP CAES DOMIT AVG GERM TRP VI  ,IMP XIIII COS XIII CENS PPP,Rome,Domitian,Domitian,0.003,0.539,9.71,0.006,0.002,0.46,0.001,0.0012,0.0014,0.00009,0.00005,0.0001,0.005,90.45,91.46,,,,,
BCC22,denarius,IMP CAES DOMIT AVG GERM PM TRP VII  ,IMP XIIII COS XIIII CENS PP,Rome,Domitian,Domitian,0.003,0.703,8.9,0.006,0.001,0.59,0.009,0.001,0.0001,0.00008,0.00004,0.0001,0.002,90.02,91.32,,,,,
