REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,BISMUTH,SILVER,BULLION,,,,,
BRTN3,denarius,IMP SER GALBA AVG  ,VICTORIA PR Victory l on globe.,Rome,Galba,Galba,0.011,1.062,10.98,0.011,0.001,0.89,0.008,0.0047,0.0009,0.00004,0.00015,0.0004,0.011,87.02,88.98,18.44,15.65,38.53,0.85,2.09
BRTN4,denarius,A VIELLIVS GERMAN IMP TR P   ,"VX VIR SACR FAC, tripod lebes with dolphin.",Rome,Vitellius,Vitellius,0.008,0.511,20.48,0.008,0.001,0.55,0.012,0.005,0.0007,0.00007,0.0002,0.0003,0.004,78.4,79.5,,,,,
BRTN5,denarius,A VIELLIVS GERMAN IMP TR P ,"VX VIR SACR FAC, tripod lebes with dolphin.",Rome,Vitellius,Vitellius,0.012,0.589,20.48,0.005,0.002,0.26,0.008,0.004,0.0005,0.00002,0.0005,0.0002,0.023,78.6,79.5,18.4,15.64,38.46,0.85,2.09
BRTN6,denarius,A VITELLIVS GERMAN IMP TR P   ,"VX VIR SACR FAC, tripod lebes with dolphin.",Rome,Vitellius,Vitellius,0.011,0.636,19.67,0.013,0.002,0.41,0.004,0.0051,0.001,0.0002,0.00016,0.0004,0.003,79.25,80.3,18.43,15.66,38.57,0.85,2.09
BRTN7,denarius,A VITELLIVS GERM IMP AVG TR P  ,"VX VIR SACR FAC, tripod lebes with dolphin.",Rome,Vitellius,Vitellius,0.005,0.573,18.79,0.008,0.002,0.54,0.003,0.012,0.001,0.00005,0.0001,0.0002,0.002,80.1,81.2,,,,,
BRTN8,denarius,A VITELLIVS GERM IMP AVG TR P  ,"PONT MAXIM, Vesta std. r.",Rome,Vitellius,Vitellius,0.02,0.537,19.21,0.008,0.002,0.43,0.012,0.017,0.0026,0.00006,0.0001,0.0002,0.004,79.8,80.7,,,,,
BRTN9,denarius,A VITELLIVS GERM IMP AVG TR P  ,"PONT MAXIM, Vesta std. r.",Rome,Vitellius,Vitellius,0.006,0.602,20.48,0.006,0.002,0.27,0.01,0.004,0.0005,0.00006,0.0007,0.0002,0.001,78.6,79.5,18.48,15.66,38.59,0.85,2.09
BRWL17,denarius,IMP CAES VESP AVG P M    ,"TRI POT II COS III P P, Pax std. l.",Rome,Vespasian,Vespasian,0.01,0.515,21.39,0.01,0.003,0.2,0.011,0.0007,0.0001,0.00003,0.00003,0.0003,0.001,77.85,78.57,,,,,
BRWL18,denarius,IMP CAES VESP AVG P M COS.IIII.CEN    ,"S.P.Q.R, in oak wreath.",Rome,Vespasian,Vespasian,0.012,0.805,22.43,0.008,0.004,0.27,0.01,0.0021,0.0028,0.00257,0.00026,0.0028,0.003,76.45,77.53,,,,,
BRWL27,denarius,T.CAESAR.IMP.VESPASIANVS    ,"TR.POT.VIIII.COS.VII., quadriga, l.",Rome,Vespasian,Titus,0.004,0.632,21.98,0.019,0.001,0.61,0.001,0.0008,0.0001,0.00004,0.00004,0.0003,0.001,76.75,77.99,,,,,
BRWL28,denarius,T CAESAR VESPASIANVS    ,ANNONA AVG,Rome,Vespasian,Titus,0.003,0.496,28.43,0.023,0.001,0.75,0.003,0.0051,0.0101,0.00004,0.00004,0.0001,0.023,70.26,71.53,,,,,
BRWL29,denarius,IMP.TITVS.CAES.VESPASIAN.AVG.P.M.    ,"TR.P.IX.IMP.XV.COS.VIII.P.P., trophy and 2 captives.",Rome,Titus,Titus,0.003,0.524,22.21,0.01,0.001,0.76,0.012,0.0007,0.0007,0.00013,0.00003,0.0002,0.01,76.47,77.76,,,,,
BRWL30,denarius,DIVVS AVGVSTVS VESPASIANVS    ,"S C on shield supported by two capricorns, globe beneath.",Rome,Titus,Divus Vespasian,0.003,0.541,23.59,0.003,0.001,0.63,0.004,0.0068,0.0089,0.00004,0.00004,0.0002,0.011,75.21,76.39,,,,,
BRWL32,denarius,IMP.CAES.DOMITIANVS.AVG.P.M.    ,"TR.POT.COS.VIII.P.P., Dolphin",Rome,Domitian,Domitian,0.003,0.516,23.45,0.009,0.003,0.8,0.003,0.0007,0.0006,0.00004,0.00004,0.0001,0.012,75.2,76.53,18.39,15.65,38.52,0.85,2.09
C1,denarius,IMP CAESAR VESPASIANVS AVG  ,VICTORIA AVG,Antioch,Vespasian,Vespasian,0.009,0.618,1.7,0,0,0.72,0.003,0.0172,0.0007,0.00024,0.00012,0.0003,0.017,96.92,98.27,,,,,
C2,denarius,IMP CAESAR VESPASIANVS AVGVSTVS ,S P Q R/OB C S,UG3,Vespasian,Vespasian,0.013,0.957,1.56,0.002,0.001,0.59,0.004,0.006,0.0011,0.00005,0.00764,0.1902,0.09,96.57,98.21,,,,,
C3,denarius,IMP CAESAR VESPASIANVS AVGVSTVS  ,"COS VII, eagle stg.",O mint,Vespasian,Vespasian,0.025,0.657,18.9,0.005,0.002,0.48,0.01,0.004,0.0008,0.00032,0.00045,0.0003,0.047,79.87,81.05,,,,,
C4,denarius,CAESAR AVG F DOMITIANVS COS VI  ,"PRINCEPS IVVENTVTIS, Salus stg. r.",Rome,Vespasian,Domitian,0.018,0.65,14.24,0.015,0.001,0.38,0.016,0.0034,0.0006,0.0001,0.00047,0.0003,0.002,84.67,85.7,,,,,
C5,denarius,IMP CAESAR VESPAS IANVS AVG  ,LIBERTAS PVBLICA,UG5,Vespasian,Vespasian,0.006,0.559,4.85,0.004,0.001,0.76,0.002,0.0179,0.0005,0.00009,0.00009,0.005,0.044,93.76,95.12,,,,,
C6,denarius,IMP CAESAR VESPASIANVS AVGVSTVS ,S P Q R/OB C S,UG3,Vespasian,Vespasian,0.017,0.859,3.22,0.004,0.001,0.53,0.006,0.017,0.0014,0.00006,0.00024,0.0007,0.042,95.3,96.74,,,,,
C7,denarius,IMP CAESAR VESPASIANVS AVG  ,LIBERTAS PVBLICA,Spanish,Vespasian,Vespasian,0.007,0.454,5.44,0.004,0.001,0.91,0.002,0.0099,0.0006,0.00012,0.00009,0.0003,0.038,93.14,94.53,,,,,
C8,denarius,IMP CAES DOMIT AVG GERM P M TR P IIII  ,IMP VIIII COS XI CENS POT P P,Rome,Domitian,Domitian,0.005,0.121,11.45,0.004,0.002,0.48,0.002,0.0024,0.0004,0.00002,0.00007,0.0002,0.019,87.92,88.54,,,,,
Don1,denarius,NERO CAESAR AVGVSTVS        ,SALVS in exergue,Rome,Nero,Nero,0.007,0.657,11.03,0.003,0.001,1.4,0.025,0.0075,0.0002,0.00019,0.00019,0.0002,0.033,86.83,88.92,,,,,
Don10,denarius,IMP NERO CAESAR AVG PP      ,SALVS in exergue,Rome,Nero,Nero,0.011,0.543,8.75,0.008,0.001,0.81,0.03,0.0197,0.0235,0.00014,0.00014,0.0001,0.018,89.79,91.16,18.32,15.6,38.29,0.85,2.09
Don11,denarius,CAESAR AVGVSTVS DIVI F PATER PATRIAE         ,"Gaius and Lucius Caesar, on l. and r., stg. front, each togate and resting hand on shield   behind each shield, a spear   above, on l., simpulum r., and on r., lituus l. C L CAESAES (ex.) AVGVST",Lyon,Augustus,Augustus,0.008,1.167,0.4,0.002,0,0.23,0.01,0.0017,0.0002,0.00014,0.00021,0.0001,0.156,98.02,99.58,,,,,
Don12,denarius,AVGVSTVS DIVI F   ,"IMP X,  Bull butting l. ",Lyon,Augustus,Augustus,0.007,0.562,0.13,0.014,0,0.17,0.006,0.0017,0.0002,0.00014,0.00056,0.0001,0.026,99.08,99.84,,,,,
Don13,denarius,CAESAR AVGVSTVS DIVI F PATER PATRIAE         ,"Gaius and Lucius Caesar, on l. and r., stg. front, each togate and resting hand on shield behind each shield, a spear above, on l., simpulum r., and on r., lituus l. C L CAESAES (ex.) AVGVST",Lyon,Augustus,Augustus,0.015,1.025,0.02,0.008,0,0.03,0.007,0.0032,0.0003,0.00026,0.00026,0.0003,0.071,98.83,99.95,,,,,
Don14,denarius,AVGVSTVS DIVI F          ,"Gaius Caesar galloping r., r. holding reins, l. sword and shield   behind, eagle between two standards   C. CAES AVGVS F (ex.)",Lyon,Augustus,Augustus,0.007,1.81,0.04,0.013,0,0.09,0.002,0.0014,0.0001,0.00011,0.00011,0.0001,0.134,97.91,99.94,,,,,
Don1a,denarius,CAESAR AVGVSTVS DIVI F PATER PATRIAE         ,"Gaius and Lucius Caesar, on l. and r., stg. front, each togate and resting hand on shield   behind each shield, a spear above, on l., simpulum r., and on r., lituus l. C L CAESAES (ex.) AVGVST",Lyon,Augustus,Augustus,0.008,0.533,0.23,0.032,0,0.07,0.032,0.0228,0.0002,0.00016,0.00039,0.0002,0.005,99.06,99.68,,,,,
Don2,denarius,IMP NERO CAESAR AVG PP        ,SALVS in exergue,Rome,Nero,Nero,0.011,0.8,9.16,0.001,0,0.66,0.024,0.0038,0.0002,0.00017,0.00017,0.0002,0.01,89.33,90.8,,,,,
Don3,denarius,NERO CAESAR AVGVSTVS      ,IVPPITER CVSTOS,Rome,Nero,Nero,0.005,0.561,7.9,0.004,0.001,0.73,0.008,0.0007,0.0001,0.0001,0.0001,0.0001,0.018,90.77,92.08,18.38,15.61,38.29,0.85,2.08
Don4,denarius,IMP NERO CAESAR AVGVSTVS        ,IVPPITER CVSTOS,Rome,Nero,Nero,0.006,0.452,8.13,0.006,0.001,1.05,0.004,0.0017,0.0002,0.00014,0.00014,0.0001,0.019,90.33,91.85,18.34,15.57,38.14,0.85,2.08
Don5,denarius,NERO CAESAR AVGVSTVS        ,IVPPITER CVSTOS,Rome,Nero,Nero,0.007,0.701,8.39,0.012,0.001,1.36,0.013,0.0002,0.0002,0.00015,0.00015,0.0001,0.037,89.47,91.57,,,,,
Don6,denarius,NERO CAESAR AVG IMP   ,PONTIF MAX TR P VII COS IIII PP around oak wreath enclosing EX S C,Rome,Nero,Nero,0.006,1.179,1.51,0.026,0,0.89,0.001,0.0015,0.0002,0.00013,0.00109,0.0002,0.008,96.37,98.45,,,,,
Don7,denarius,NERO CAESAR AVG IMP   ,PONTIF MAX TR P VII COS IIII PP around oak wreath enclosing EX S C,Rome,Nero,Nero,0.009,1.238,1.27,0.003,0.001,0.98,0.055,0.0019,0.0002,0.00016,0.00016,0.0006,0.008,96.43,98.66,,,,,
Don8,denarius,NERO CAESAR AVG IMP   ,"PONTIF.MAX.TR.P.VIII.COS.IIII.P.P,  Virtus helmeted and in military dress, stg, l. EX-SC to l. and r.",Rome,Nero,Nero,0.002,0.059,0.08,0.434,0.027,0.33,0.014,0.002,0.0002,0.02503,0.46607,0.0793,0.087,98.4,98.87,,,,,
Don9,denarius,T CLAVD CAESAR AVG P M TR P XI IMP PP COS V        ,"PACI AVGVSTAE,  Pax-Nemesis, winged, advancing r.",Lyon,Claudius,Claudius,0.009,0.681,0.13,0.012,0,0.24,0.042,0.0017,0.0002,0.00014,0.00014,0.0003,0.251,98.62,99.8,,,,,
H1,denarius,IMP NERO CAESAR AVG PP        ,SALVS in exergue,Rome,Nero,Nero,0.014,0.505,20.43,0.006,0.002,0.57,0.012,0.002,0.0057,0.0001,0.0001,0.0001,0.008,78.44,79.52,,,,,
H3,denarius,IMP.CAES.VESP.AVG.P.M.COS.IIII  ,"Judea seated r. on ground, palm tree behind, emperor standing behind tree, holding spear.",Antioch,Vespasian,Vespasian,0.016,0.367,17.89,0.004,0.001,0.62,0.006,0.0044,0.0041,0.00002,0.00026,0.0002,0.024,81.06,82.07,,,,,
H4,denarius,VITELLIVS   ,"FIDES.EXERCITVVM, clasped hands.",Spanish,Vitellius,Vitellius,0.009,0.125,0.87,0.004,0,0.07,0.002,0.0075,0.0011,0.00001,0.00072,0.0146,0.01,98.88,99.09,,,,,
KB1,denarius,TI CAESAR DIVI AVG F AVGVSTVS         ,PONTIF MAXIM   Livia or Pax (?) std. r.,Lyon,Tiberius,Tiberius,0.011,0.2,0.26,0.003,0.001,0.07,0.015,0.009,0.0001,0.0011,0.0002,0.0001,0.006,99.43,99.69,,,,,
KB1157,denarius,A.VITELLIVS.IMP.GERMAN  ,VICTORIA.AVGVSTI,Spanish,Vitellius,Vitellius,0.003,0.052,0.8,0.005,0,0.48,0.003,0.002,0.0005,0.00024,0.0001,0.0011,0.057,99.2,99.79,18.2,15.63,38.38,0.86,2.11
KB1180,denarius,T CLAVD CAESAR AVG P M TR P X IMP PP        ,"PACI AVGVSTAE,  Pax-Nemesis, winged, advancing r.",Lyon,Claudius,Claudius,0.005,0.165,0.13,0.001,0,0.08,0.003,0.0044,0.0006,0.00046,0.00113,0.0305,0.077,99.5,99.82,,,,,
KB1182,denarius,IMP.CAES.VESP.AVG.P.M.COS.IIII    ,CONCORDIA.AVG,Antioch,Vespasian,Vespasian,0.013,0.346,18.61,0.029,0.002,1.34,0.014,0.0045,0.0043,0.00015,0.00021,0.0001,0.029,81.39,83.11,18.67,15.68,38.86,0.84,2.08
KB1185,denarius,SER.GALBA.IMPERATOR    ,VICTORIA.PR,Gaul,Galba,Galba,0.005,0.264,1.43,0.014,0,0.4,0.003,0.002,0.0005,0.00165,0.00041,0.0047,0.165,98.57,99.41,18.23,15.63,38.41,0.86,2.11
KB1199,denarius,A.VITELLIVS.IMP.GERMAN    ,VESTA.PR QVIRITIVM,Lyon,Vitellius,Vitellius,0.004,0.356,4.08,0.012,0,0.37,0.005,0.0475,0.0184,0.00035,0.00518,0.1442,0.053,95.92,96.7,18.44,15.66,38.57,0.85,2.09
KB1242,denarius,A.VITELLIVS.IMP.GERMAN    ,IO.MAX.CAPITOLINVS. Jupiter seated in temple.,Lyon,Vitellius,Vitellius,0.005,0.242,2.09,0.006,0,0.24,0.003,0.0328,0.0019,0.00001,0.00146,0.0329,0.03,97.31,97.83,,,,,
KB1294,denarius,NERO.CAESAR.AVG.IMP    ,"PONTIF.MAX.TR.P.VII.COS.IIII.P.P, EX-SC, Virtus stg. l.",Rome,Nero,Nero,0.006,0.106,0.14,0.004,0,0.37,0.003,0.0049,0.0007,0.00033,0.01064,0.3039,0.069,98.98,99.52,,,,,
KB1295,denarius,IMP.CAESAR.VESPAS.AVG.COS.III.TR.P.P.P    ,"CONCORDIA.AVG, Ceres std. l.  EPE.",Ephesus,Vespasian,Vespasian,0.014,0.449,19.56,0.007,0.002,0.37,0.015,0.108,0.0032,0.00016,0.0001,0.0002,0.044,80.44,81.31,,,,,
KB1296,denarius,IMP.CAESAR.VESPAS.AVG.COS.III.TR.P.P.P    ,"AVG , in wreath, EPE.",Ephesus,Vespasian,Vespasian,0.019,0.44,22.09,0.004,0.005,0.32,0.016,0.0631,0.0186,0.00015,0.0001,0.0002,0.025,77.91,78.7,18.63,15.71,38.85,0.84,2.08
KB1304,denarius,IMP.NERO.CAESAR.AVG.P.P    ,RO-MA,Rome,Nero,Nero,0.006,0.352,3.71,0.003,0,0.29,0.003,0.0048,0.0007,0.00002,0.0001,0.0002,0.016,95.61,96.27,,,,,
KB1305,denarius,IMP.CAES.VESPAS.AVG.    ,"PACI.AVGVSTAE, Victory stg. l. ?",Ephesus,Vespasian,Vespasian,0.023,0.386,26.97,0.005,0.003,0.39,0.018,0.0247,0.0109,0.0001,0.00014,0.0021,0.022,73.03,73.83,,,,,
KB1310,denarius,GALBA.IMP  Galba riding l.  ,"HISPANIA, bust r.",Spanish,Galba,Galba,0.003,0.04,0.15,0.002,0,0.04,0.002,0.0029,0.0026,0.00001,0.00031,0.0051,0.004,99.75,99.83,,,,,
KB1311,denarius,SER.GALBA.IMPERATOR    ,CONCORDIA.PROVINCIARVM,Gaul,Galba,Galba,0.009,0.078,0.19,0.042,0,0.41,0.004,0.0025,0.0006,0.0006,0.00192,0.0487,0.041,99.81,100.34,18.18,15.62,38.4,0.86,2.11
KB1312,denarius,GALBA.IMP  Galba riding r.  ,ROMA.RENASCENS,Gaul,Galba,Galba,0.009,0.266,4.1,0.008,0,0.38,0.003,0.0436,0.0453,0.00043,0.00059,0.0141,0.059,95.9,96.61,18.45,15.66,38.61,0.85,2.09
KB1326,denarius,IMP.CAES.VESPAS.AVG    ,"CONCORDIA.AVG, ?",Ephesus,Vespasian,Vespasian,0.005,0.393,4.8,0.006,0,0.19,0.01,0.0082,0.0006,0.00001,0.00008,0.0002,0.027,94.55,95.16,,,,,
KB1328,denarius,IMP.NERO.CAESAR.AVG.P.P  ,SA-LVS,Rome,Nero,Nero,0.008,0.322,6.39,0.008,0.001,0.59,0.003,0.0042,0.0006,0.00002,0.00038,0.0005,0.009,92.66,93.59,,,,,
KB1329,denarius,A.VITELLIVS.IMP.GERMAN    ,"FIDES.EXERCITVVM, clasped hands.",Lyon,Vitellius,Vitellius,0.005,0.23,0.63,0.002,0,0.18,0.003,0.0045,0.0007,0.00002,0.00153,0.0389,0.019,98.88,99.31,,,,,
KB1338,denarius,IMP.CAESAR.VESPAS. AVG.COS.III.TR.P    ,"PACI.AVGVSTAE, Victory r. EPE",Ephesus,Vespasian,Vespasian,0.03,0.393,29.73,0.007,0.004,0.41,0.023,0.048,0.0065,0.00004,0.00009,0.0002,0.04,70.27,71.1,,,,,
KB2,denarius,NERO CAESAR AVGVSTVS        ,IVPPITER CVSTOS,Rome,Nero,Nero,0.028,0.665,21.54,0.011,0.002,0.75,0.024,0.001,0.0017,0.0003,0.0015,0.0004,0.015,76.96,78.37,,,,,
KB25,denarius,CAESAR.AVG.F.DOMITIANVS. hd. r.  ,"COS V, Domitian on horseback r.",Rome,Vespasian,Domitian,0.006,0.132,14.87,0.012,0.001,0.31,0.003,0.0046,0.0007,0.00002,0.00009,0.0002,0.01,84.65,85.1,,,,,
KB54,denarius,IMP. CAESAR. VESPASIANVS.AVG  hd. r.  ,"COS. ITER.TR.POT, Pax seated",Rome,Vespasian,Vespasian,0.005,0.598,7.23,0.018,0,0.24,0.014,0.0088,0.0017,0.00142,0.00022,0.0002,0.001,92.77,93.61,,,,,
LW1,denarius,IMP NERO CAESAR AVG PP        ,SA-LVS,Rome,Nero,Nero,0.007,0.655,7.51,0.009,0.001,0.91,0.005,0.01,0.0098,0.00048,0.001,0.0003,0.021,90.9,92.5,,,,,
LW10,denarius,IMP CAESAR VESPASIANVS AVG    ,"COS VII, eagle, head r.",Rome,Vespasian,Vespasian,0.008,0.595,16.15,0.007,0.002,0.41,0.013,0.05,0.0065,0.0001,0.0002,0.0003,0.042,82.7,83.8,,,,,
LW100,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,LIBERTAS PVBLICA,Rome,Nerva,Nerva,0.021,0.529,8.84,0.009,0.001,0.52,0.019,0.0046,0.0009,0.00004,0.00014,0.0004,0.023,90.03,91.1,,,,,
LW101,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,AEQVITAS AVGVST,Rome,Nerva,Nerva,0.007,0.483,11.77,0.005,0.001,0.83,0.002,0.003,0.0006,0.00004,0.00009,0.0003,0.002,86.9,88.21,,,,,
LW102,denarius,IMP NERVA CAES AVG P M TR P II COS III PP    ,"CONCORDIA EXERCITVVM, clasped hands",Rome,Nerva,Nerva,0.008,0.548,7.57,0.008,0.001,0.5,0.003,0.0035,0.0007,0.00006,0.00011,0.0003,0.011,91.35,92.41,,,,,
LW103,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,"CONCORDIA EXERCITVVM, clasped hands",Rome,Nerva,Nerva,0.006,0.61,6.92,0.009,0,0.53,0.002,0.0028,0.0005,0.00007,0.00009,0.0002,0.024,91.9,93.06,,,,,
LW104,denarius,IMP NERVA CAES AVG P M TR P COS III PP    ,"CONCORDIA EXERCITVVM, clasped hands, aquila",Rome,Nerva,Nerva,0.011,0.478,7.1,0.009,0.001,0.53,0.004,0.0051,0.001,0.0001,0.00016,0.0004,0.048,91.81,92.87,,,,,
LW105,denarius,IMP NERVA CAES AVG P M TR P II COS III PP    ,LIBERTAS PVBLICA,Rome,Nerva,Nerva,0.014,0.371,10.93,0.015,0.003,0.47,0.004,0.0062,0.0012,0.00005,0.00217,0.8912,0.017,87.28,88.14,,,,,
LW11,denarius,CAESAR AVG F DOMITIANVS COS VI  ,"PRINCEPS IVVENTVTIS, Vesta",Rome,Vespasian,Domitian,0.009,0.613,21.41,0.02,0.002,0.45,0.017,0.0064,0.0008,0.00011,0.00025,0.0004,0.012,77.45,78.08,18.41,15.66,38.55,0.85,2.09
LW12,denarius,CAES AVG F DOMIT COS III  ,"PRINCEPS IVVENTVT, Spes",Rome,Vespasian,Domitian,0.012,0.326,24.58,0.016,0.003,0.46,0.013,0.0032,0.0004,0.00018,0.00161,0.0002,0.012,74.57,74.91,18.53,15.67,38.66,0.85,2.09
LW13,denarius,IMP CAESAR VESPASIANVS AVG    ,IOVIS CVSTOS,Rome,Vespasian,Vespasian,0.006,0.356,19.04,0.011,0.003,0.41,0.012,0.004,0.0019,0.00009,0.0006,0.1138,0.045,80,80.8,,,,,
LW14,denarius,IMP CAESAR VESPASIANVS AVG    ,"COS VIII, Mars",Rome,Vespasian,Vespasian,0.006,0.356,24.09,0.012,0.002,0.78,0.004,0.004,0.0174,0.00009,0.0002,0.0002,0.025,74.7,75.9,,,,,
LW15,denarius,CAESAR AVG F DOMITIANVS COS VI  ,"PRINCEPS IVVENTVTIS, Salus",Rome,Vespasian,Domitian,0.007,0.435,21.18,0.024,0.002,0.72,0.004,0.0045,0.0018,0.00014,0.00018,0.03,0.023,77.57,78.03,,,,,
LW16,denarius,CAESAR AVG F DOMITIANVS COS VI  ,"PRINCEPS IVVENTVTIS, Vesta",Rome,Vespasian,Domitian,0.013,0.468,15.74,0.012,0.001,0.43,0.017,0.0043,0.0005,0.00014,0.00017,0.0003,0.011,83.31,83.79,,,,,
LW17,denarius,IMP CAESAR VESPASIANVS AVG  ,"COS VIII, Mars",Rome,Vespasian,Vespasian,0.006,0.369,20.84,0.011,0.001,0.78,0.004,0.004,0.0137,0.00028,0.00048,0.0002,0.035,77.93,78.34,,,,,
LW18,denarius,CAESAR VESPASIANVS AVG    ,ANNONA AVG.,Rome,Vespasian,Titus,0.006,0.421,21.29,0.018,0.002,0.51,0.004,0.01,0.008,0.00018,0.0002,0.0003,0.01,77.7,78.7,,,,,
LW19,denarius,IMP CAESAR VESPASIANVS AVG  ,"COS ITER TR POT, Mars",Rome,Vespasian,Vespasian,0.013,0.621,18.53,0.007,0.001,0.25,0.007,0.0032,0.001,0.00006,0.00013,0.0002,0.001,80.57,81.19,,,,,
LW2,denarius,IMP SER GALBA AVG  ,SPQR OB C S,Rome,Galba,Galba,0.013,0.652,9.28,0.003,0.001,0.61,0.004,0.0045,0.004,0.00014,0.00037,0.0003,0.01,89.42,90.09,,,,,
LW20,denarius,IMP CAES VESP AVG CEN    ,"SALVS AVG, Salus std., l.",Rome,Vespasian,Vespasian,0.016,0.361,17.29,0.015,0.002,0.53,0.019,0.004,0.0006,0.00009,0.0002,0.0003,0.054,81.7,82.7,,,,,
LW21,denarius,IMP CAESAR VESP AVG  ,"COS V, two laurel trees",Rome,Vespasian,Vespasian,0.006,0.514,9.59,0.004,0.001,0.33,0.029,0.0201,0.0022,0.00005,0.00043,0.0002,0.008,89.49,90.01,,,,,
LW22,denarius,IMP CAES VESP AVG P M COS IIII  ,VICTORIA AVGVSTI,Rome,Vespasian,Vespasian,0.012,0.589,21.68,0.014,0.002,0.53,0.01,0.0036,0.0011,0.00008,0.00077,0.0002,0.001,77.15,77.74,,,,,
LW23,denarius,IMP CAES VESP AVG P M COS III CEN  ,FIDES PVBL,Rome,Vespasian,Vespasian,0.019,0.65,17.53,0.01,0.001,0.43,0.005,0.0055,0.002,0.00014,0.00022,0.0003,0.008,81.35,82.01,,,,,
LW24,denarius,IMP CAESAR VESPASIANVS AVG  ,"COS ITER FORT RED, Fortuna",Rome,Vespasian,Vespasian,0.006,0.597,16.77,0.019,0.002,0.39,0.009,0.0043,0.0025,0.00017,0.00127,0.1796,0.003,82.02,82.62,,,,,
LW25,denarius,IMP CAES VESP AVG P M COS IIII  ,CONCORDIA AVGVSTI,Rome,Vespasian,Vespasian,0.009,0.397,17.96,0.008,0.002,0.34,0.005,0.0188,0.0047,0.00014,0.00023,0.0004,0.039,81.22,81.66,,,,,
LW26,denarius,IMP CAESAR VESPASIANVS AVG  ,"COS ITER TR POT, Pax",Rome,Vespasian,Vespasian,0.006,0.561,7.87,0.005,0,0.34,0.01,0.0043,0.002,0.00007,0.00051,0.0003,0.019,91.18,91.76,,,,,
LW27,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P VIIII IMP XIIII COS VII PP, rostral column",Rome,Titus,Titus,0.009,0.528,19.62,0.01,0.002,0.46,0.013,0.0059,0.0007,0.00012,0.00024,0.0004,0.011,79.34,79.88,,,,,
LW28,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P VIIII IMP XV COS VII PP, captive",Rome,Titus,Titus,0.015,0.506,19.93,0.012,0.001,0.46,0.004,0.0043,0.002,0.00013,0.00017,0.0003,0.013,79.05,79.57,,,,,
LW29,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P IX IMP XV COS VIII PP, elephant",Rome,Titus,Titus,0.014,0.529,22.12,0.015,0.002,1.35,0.009,0.0046,0.0086,0.00013,0.00045,0.0003,0.018,75.94,76.48,,,,,
LW3,denarius,IMP OTHO CAESAR AVG TR P  ,"PONT MAX, Aequitas stg. l.",Rome,Otho,Otho,0.015,0.748,6.52,0.003,0,0.95,0.004,0.0048,0.0016,0.00009,0.00044,0.0003,0.02,91.73,92.5,,,,,
LW30,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P VIIII IMP XIIII COS VII PP, capricorn",Rome,Titus,Titus,0.014,0.504,21.97,0.015,0.002,0.4,0.011,0.0027,0.0018,0.0002,0.00043,0.0002,0.014,77.07,77.59,,,,,
LW31,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P VIIII IMP XIIII COS VII PP, Venus",Rome,Titus,Titus,0.008,0.407,18.86,0.018,0.002,0.2,0.014,0.0053,0.0026,0.00037,0.00081,0.0361,0.002,80.45,80.86,,,,,
LW32,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P VIIII IMP XIIII COS VII PP, Venus",Rome,Titus,Titus,0.006,0.471,19.57,0.011,0.002,0.27,0.004,0.0038,0.0005,0.00022,0.00015,0.0002,0.014,79.65,80.14,,,,,
LW33,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P VIIII IMP XIIII COS VII PP, Ceres",Rome,Titus,Titus,0.009,0.543,20.28,0.125,0.002,0.4,0.016,0.0061,0.0006,0.00167,0.00092,0.0004,0.011,78.6,79.16,,,,,
LW34,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P IX IMP XV COS VIII PP, elephant",Rome,Titus,Titus,0.01,0.527,21.44,0.025,0.002,0.87,0.014,0.0035,0.0338,0.00013,0.00052,0.0002,0.007,77.07,77.6,,,,,
LW35,denarius,IVLIA AVGVSTA TITI AVGVSTI F  ,VENVS AVGVST,Rome,Titus,Julia Titi,0.006,0.462,6.95,0.016,0,0.21,0.016,0.0041,0.0023,0.00026,0.00017,0.0005,0.01,92.33,92.8,,,,,
LW36,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P IX IMP XV COS VIII PP, thunderbolt",Rome,Titus,Titus,0.015,0.484,28.07,0.009,0.003,1.15,0.017,0.0042,0.0032,0.00011,0.00017,0.0005,0.016,70.22,70.72,,,,,
LW37,denarius,IMP TITVS CAES VESPASIAN AVG PM  ,"TR P IX IMP XV COS VIII PP, curule chair",Rome,Titus,Titus,0.011,0.479,21.87,0.011,0.003,1.43,0.013,0.0035,0.0016,0.00017,0.00014,0.0006,0.023,76.15,76.66,,,,,
